gameid,year,split,playoffs,date,game,patch,side,teamname,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,BNK FEARX,K'Sante,Ambessa,Skarner,Jax,Ornn,Rumble,Corki,Maokai,Kai'Sa,Leona,1914,0,7,27,13,7,27,0,0,0,0,1,0.2194,1.0658,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,KT Rolster,Kalista,Jayce,Vi,Varus,Ezreal,Ashe,Yone,Zyra,Renekton,Braum,1914,1,27,7,61,27,7,4,0,0,0,0,0.8464,1.0658,1,4,0,4,0,1,0,1,0,0,2
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,BNK FEARX,Sejuani,Ambessa,Skarner,Azir,Aurora,K'Sante,Wukong,Taliyah,Zeri,Rell,1659,1,27,8,69,27,8,4,2,0,0,1,0.9765,1.2658,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,KT Rolster,Kalista,Varus,Vi,Rakan,Ezreal,Xin Zhao,Caitlyn,Jayce,Viktor,Poppy,1659,0,8,27,15,8,27,1,1,0,0,0,0.2893,1.2658,1,3,1,3,1,1,1,0,0,0,1
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,KT Rolster,Viego,Nocturne,Varus,Lee Sin,Sylas,Sejuani,Jax,Azir,Jinx,Lulu,1771,1,16,6,40,16,6,5,0,0,0,1,0.5421,0.7453,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,BNK FEARX,Skarner,Vi,Kalista,Ezreal,Lucian,Ambessa,Rakan,Xayah,Akali,Jarvan IV,1771,0,6,16,19,6,16,1,0,0,0,0,0.2033,0.7453,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,BNK FEARX,Jayce,Galio,Rumble,Jax,Renekton,K'Sante,Zyra,Corki,Alistar,Ezreal,2405,0,25,22,62,25,22,1,0,0,0,0,0.6237,1.1726,0,2,4,2,4,0,0,2,0,0,0
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Red,Gen.G,Skarner,Vi,Kalista,LeBlanc,Rell,Nidalee,Varus,Yone,Leona,Aurora,2405,1,22,25,54,22,25,3,0,0,0,1,0.5489,1.1726,1,4,2,4,2,0,1,2,0,0,1
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,BNK FEARX,Ashe,Azir,Rumble,Xayah,Lulu,Jayce,Wukong,Galio,Jinx,Tahm Kench,1751,0,10,22,32,10,22,1,0,0,0,0,0.3427,1.0965,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Red,Gen.G,Skarner,Vi,Kalista,Rakan,Poppy,Xin Zhao,Ambessa,Sylas,Rell,Miss Fortune,1751,1,22,10,53,22,10,4,1,0,0,1,0.7539,1.0965,1,3,0,3,0,1,1,0,0,0,1
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Blue,Dplus KIA,Kalista,Zyra,K'Sante,Poppy,Akali,Skarner,Ambessa,Leona,Ziggs,Ahri,1649,1,23,3,62,23,3,5,0,0,0,0,0.8369,0.946,0,2,2,2,2,0,0,2,0,0,0
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,BNK FEARX,Jayce,Pantheon,Ezreal,Sylas,LeBlanc,Rumble,Varus,Vi,Renata Glasc,Yone,1649,0,3,23,6,3,23,0,0,0,0,1,0.1092,0.946,1,2,2,2,2,0,1,0,1,0,0
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Blue,BNK FEARX,Nidalee,Lillia,Corki,Braum,Taliyah,K'Sante,Wukong,Azir,Zeri,Alistar,1898,1,17,6,39,17,6,1,1,0,0,1,0.5374,0.7271,1,2,2,2,2,0,0,0,1,0,1
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Red,Dplus KIA,Zyra,Kalista,Poppy,Kai'Sa,Rakan,Jayce,Sejuani,Ezreal,Viktor,Pantheon,1898,0,6,17,15,6,17,0,0,0,0,0,0.1897,0.7271,0,2,2,2,2,0,0,1,1,0,0
LOLTMNT03_188655,2025,Cup,0,2025-01-22T09:48:21Z,3,15.01,Blue,Dplus KIA,Zyra,Nocturne,Corki,Jax,Gnar,Ashe,Viego,Braum,Sion,Zoe,1568,1,24,7,71,24,7,5,0,0,0,0,0.9184,1.1862,0,1,2,1,2,0,0,0,1,0,0
LOLTMNT03_188655,2025,Cup,0,2025-01-22T09:48:21Z,3,15.01,Red,BNK FEARX,Nidalee,Lillia,Maokai,Gragas,Taliyah,Xin Zhao,Kalista,Neeko,Renekton,Galio,1568,0,7,24,17,7,24,0,0,0,0,1,0.2679,1.1862,1,2,1,2,1,1,0,1,0,0,0
LOLTMNT03_191023,2025,Cup,0,2025-01-24T08:05:35Z,1,15.01,Blue,DRX,Zyra,Kalista,Rumble,Sejuani,Azir,Ambessa,Kai'Sa,Rell,Nidalee,Jayce,1809,1,17,3,35,17,3,2,0,0,0,1,0.5638,0.6633,0,4,1,4,1,0,0,1,3,0,0
LOLTMNT03_191023,2025,Cup,0,2025-01-24T08:05:35Z,1,15.01,Red,BNK FEARX,Skarner,K'Sante,Vi,Lillia,Viktor,Ezreal,Leona,Jax,Wukong,Taliyah,1809,0,3,17,5,3,17,0,0,0,0,0,0.0995,0.6633,1,1,4,1,4,0,0,0,0,0,1
LOLTMNT03_191028,2025,Cup,0,2025-01-24T08:59:16Z,2,15.01,Blue,BNK FEARX,Rumble,Zyra,Aurora,Ahri,Akali,Varus,Azir,Xin Zhao,Renekton,Elise,1654,1,19,15,35,19,15,3,1,0,0,1,0.6892,1.2334,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_191028,2025,Cup,0,2025-01-24T08:59:16Z,2,15.01,Red,DRX,Kalista,Skarner,K'Sante,Poppy,Renata Glasc,Vi,Gnar,Rakan,Miss Fortune,Xerath,1654,0,15,19,30,15,19,2,0,0,0,0,0.5441,1.2334,0,1,3,1,3,0,0,0,1,0,0
LOLTMNT03_191030,2025,Cup,0,2025-01-24T09:49:42Z,3,15.01,Blue,DRX,Zyra,Galio,Kalista,Lulu,Bard,Rumble,Ashe,Braum,Lee Sin,Lillia,2044,1,18,7,38,18,7,5,1,0,0,1,0.5284,0.7339,0,3,2,3,2,3,0,0,0,0,0
LOLTMNT03_191030,2025,Cup,0,2025-01-24T09:49:42Z,3,15.01,Red,BNK FEARX,Skarner,K'Sante,Yone,Nocturne,Viego,Corki,Sejuani,Zeri,Yuumi,Aurora,2044,0,7,18,19,7,18,1,0,0,0,0,0.2055,0.7339,1,2,3,2,3,0,1,1,0,0,0
