gameid,year,split,playoffs,date,game,patch,side,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,top,Clear,BNK FEARX,Rumble,1914,0,1,6,3,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,jng,Raptor,BNK FEARX,Maokai,1914,0,1,7,3,7,27,0,0,0,0,1,0,1,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,mid,VicLa,BNK FEARX,Corki,1914,0,2,4,1,7,27,0,0,0,0,1,1,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,bot,Diable,BNK FEARX,Kai'Sa,1914,0,2,3,2,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,sup,Kellin,BNK FEARX,Leona,1914,0,1,7,4,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,top,PerfecT,KT Rolster,Renekton,1914,1,6,0,10,27,7,2,0,0,0,0,0,0,0,0.8464,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,jng,Cuzz,KT Rolster,Zyra,1914,1,7,4,9,27,7,2,0,0,0,0,0,0,1,0.8464,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,mid,Bdd,KT Rolster,Yone,1914,1,8,1,6,27,7,0,0,0,0,0,0,0,0,0.8464,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,bot,deokdam,KT Rolster,Ashe,1914,1,5,1,12,27,7,0,0,0,0,0,0,0,0,0.8464,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Red,sup,Way,KT Rolster,Braum,1914,1,1,1,24,27,7,0,0,0,0,0,0,0,0,0.8464,1.0658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,top,Clear,BNK FEARX,K'Sante,1659,1,7,1,14,27,8,1,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,jng,Raptor,BNK FEARX,Wukong,1659,1,7,2,12,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,mid,VicLa,BNK FEARX,Taliyah,1659,1,1,1,18,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,bot,Diable,BNK FEARX,Zeri,1659,1,11,1,9,27,8,3,2,0,0,1,1,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,sup,Kellin,BNK FEARX,Rell,1659,1,1,3,16,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,top,PerfecT,KT Rolster,Jayce,1659,0,0,5,1,8,27,0,0,0,0,0,0,0,1,0.2893,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,jng,Cuzz,KT Rolster,Xin Zhao,1659,0,2,6,4,8,27,0,0,0,0,0,0,0,0,0.2893,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,mid,Bdd,KT Rolster,Viktor,1659,0,1,7,6,8,27,0,0,0,0,0,0,0,0,0.2893,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,bot,deokdam,KT Rolster,Caitlyn,1659,0,3,5,1,8,27,1,1,0,0,0,0,0,0,0.2893,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Red,sup,Way,KT Rolster,Poppy,1659,0,2,4,3,8,27,0,0,0,0,0,0,0,0,0.2893,1.2658
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,top,PerfecT,KT Rolster,Jax,1771,1,3,1,5,16,6,0,0,0,0,0,0,0,0,0.5421,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,jng,Cuzz,KT Rolster,Sejuani,1771,1,1,1,8,16,6,0,0,0,0,1,1,0,0,0.5421,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,mid,Bdd,KT Rolster,Azir,1771,1,7,0,7,16,6,3,0,0,0,1,0,1,0,0.5421,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,bot,deokdam,KT Rolster,Jinx,1771,1,5,3,7,16,6,2,0,0,0,1,0,1,0,0.5421,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Blue,sup,Way,KT Rolster,Lulu,1771,1,0,1,13,16,6,0,0,0,0,1,0,1,0,0.5421,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,top,Clear,BNK FEARX,Ambessa,1771,0,1,3,5,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,jng,Raptor,BNK FEARX,Jarvan IV,1771,0,1,3,4,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,mid,VicLa,BNK FEARX,Akali,1771,0,2,5,2,6,16,0,0,0,0,0,0,0,1,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,bot,Diable,BNK FEARX,Xayah,1771,0,2,3,3,6,16,1,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,sup,Kellin,BNK FEARX,Rakan,1771,0,0,2,5,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,top,Clear,BNK FEARX,K'Sante,2405,0,0,6,13,25,22,0,0,0,0,0,0,0,1,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,jng,Raptor,BNK FEARX,Zyra,2405,0,9,4,8,25,22,0,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,mid,VicLa,BNK FEARX,Corki,2405,0,7,6,9,25,22,0,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,bot,Diable,BNK FEARX,Ezreal,2405,0,8,2,10,25,22,1,0,0,0,0,0,0,0,0.6237,1.1726
