champ,ban_count,ban_rate
Vi,57,0.058762886597938144
Kalista,46,0.04742268041237113
Varus,44,0.04536082474226804
Poppy,40,0.041237113402061855
Azir,38,0.03917525773195876
Gwen,35,0.03608247422680412
Pantheon,35,0.03608247422680412
Taliyah,33,0.03402061855670103
Yone,32,0.032989690721649485
Rumble,31,0.031958762886597936
Alistar,27,0.027835051546391754
Rakan,25,0.02577319587628866
Skarner,21,0.021649484536082474
Aurora,20,0.020618556701030927
Ambessa,18,0.018556701030927835
Neeko,18,0.018556701030927835
Nocturne,18,0.018556701030927835
Ezreal,17,0.01752577319587629
Yunara,17,0.01752577319587629
Jayce,15,0.015463917525773196
Sion,15,0.015463917525773196
Kai'Sa,13,0.013402061855670102
Nautilus,13,0.013402061855670102
Orianna,13,0.013402061855670102
Sejuani,13,0.013402061855670102
Wukong,13,0.013402061855670102
Lucian,12,0.012371134020618556
Miss Fortune,12,0.012371134020618556
Naafiri,12,0.012371134020618556
Xayah,12,0.012371134020618556
