champ,ban_count,ban_rate
Vi,57,0.058762886597938144
Kalista,46,0.04742268041237113
Varus,44,0.04536082474226804
Poppy,40,0.041237113402061855
Azir,38,0.03917525773195876
Gwen,35,0.03608247422680412
Pantheon,35,0.03608247422680412
Taliyah,33,0.03402061855670103
Yone,32,0.032989690721649485
Rumble,31,0.031958762886597936
Alistar,27,0.027835051546391754
Rakan,25,0.02577319587628866
Skarner,21,0.021649484536082474
Aurora,20,0.020618556701030927
Ambessa,18,0.018556701030927835
Neeko,18,0.018556701030927835
Nocturne,18,0.018556701030927835
Ezreal,17,0.01752577319587629
Yunara,17,0.01752577319587629
Jayce,15,0.015463917525773196
Sion,15,0.015463917525773196
Kai'Sa,13,0.013402061855670102
Nautilus,13,0.013402061855670102
Orianna,13,0.013402061855670102
Sejuani,13,0.013402061855670102
Wukong,13,0.013402061855670102
Lucian,12,0.012371134020618556
Miss Fortune,12,0.012371134020618556
Naafiri,12,0.012371134020618556
Xayah,12,0.012371134020618556
Bard,10,0.010309278350515464
Renekton,10,0.010309278350515464
Xin Zhao,10,0.010309278350515464
Annie,9,0.009278350515463918
Braum,9,0.009278350515463918
Jax,9,0.009278350515463918
K'Sante,9,0.009278350515463918
Lillia,9,0.009278350515463918
Lulu,9,0.009278350515463918
Trundle,9,0.009278350515463918
Ashe,8,0.008247422680412371
Corki,8,0.008247422680412371
Zyra,8,0.008247422680412371
Galio,7,0.007216494845360825
Jhin,7,0.007216494845360825
Karma,7,0.007216494845360825
Nidalee,7,0.007216494845360825
Ornn,7,0.007216494845360825
Viktor,7,0.007216494845360825
Aatrox,6,0.006185567010309278
Akali,6,0.006185567010309278
Senna,6,0.006185567010309278
Sylas,6,0.006185567010309278
Zeri,6,0.006185567010309278
Ahri,5,0.005154639175257732
Gnar,5,0.005154639175257732
Sivir,5,0.005154639175257732
Leona,4,0.004123711340206186
Rell,4,0.004123711340206186
Renata Glasc,4,0.004123711340206186
Ryze,4,0.004123711340206186
Maokai,3,0.003092783505154639
Viego,3,0.003092783505154639
Yorick,3,0.003092783505154639
Zed,3,0.003092783505154639
Caitlyn,2,0.002061855670103093
Elise,2,0.002061855670103093
Gragas,2,0.002061855670103093
LeBlanc,2,0.002061855670103093
Ziggs,2,0.002061855670103093
Camille,1,0.0010309278350515464
Cho'Gath,1,0.0010309278350515464
Draven,1,0.0010309278350515464
Gangplank,1,0.0010309278350515464
Ivern,1,0.0010309278350515464
Jarvan IV,1,0.0010309278350515464
Jinx,1,0.0010309278350515464
Lee Sin,1,0.0010309278350515464
Shen,1,0.0010309278350515464
Tahm Kench,1,0.0010309278350515464
Thresh,1,0.0010309278350515464
Tristana,1,0.0010309278350515464
Twisted Fate,1,0.0010309278350515464
