champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Rumble,28,17,0.6071428571428571,3.357142857142857,3.1785714285714284,7.571428571428571,0.14432989690721648
Ambessa,25,12,0.48,2.64,2.36,4.84,0.12886597938144329
Gwen,23,9,0.391304347826087,4,3.9565217391304346,4.565217391304348,0.11855670103092783
Jayce,19,7,0.3684210526315789,2.4210526315789473,3.210526315789474,4.631578947368421,0.0979381443298969
Sion,17,12,0.7058823529411765,2.5294117647058822,2.1176470588235294,8.176470588235293,0.08762886597938144
K'Sante,16,5,0.3125,2.4375,3.5625,6.4375,0.08247422680412371
Renekton,14,10,0.7142857142857143,3,2.9285714285714284,7.142857142857143,0.07216494845360824
Jax,13,8,0.6153846153846154,2.5384615384615383,2,4.461538461538462,0.06701030927835051
Aatrox,9,5,0.5555555555555556,3.2222222222222223,2.4444444444444446,4.777777777777778,0.04639175257731959
Yorick,8,2,0.25,2.125,3,2.625,0.041237113402061855
Aurora,5,3,0.6,3.8,3.4,4.4,0.02577319587628866
Gnar,5,1,0.2,2.6,3,2.8,0.02577319587628866
Camille,2,1,0.5,2.5,2,3.5,0.010309278350515464
Gragas,2,1,0.5,0.5,1.5,7,0.010309278350515464
Ornn,2,0,0,1,3,7,0.010309278350515464
Fiora,1,1,1,2,3,5,0.005154639175257732
Galio,1,0,0,4,3,3,0.005154639175257732
Kennen,1,1,1,4,3,4,0.005154639175257732
Nidalee,1,1,1,8,2,4,0.005154639175257732
Olaf,1,0,0,5,5,3,0.005154639175257732
Poppy,1,1,1,1,0,8,0.005154639175257732
