champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Xin Zhao,34,19,0.5588235294117647,3.264705882352941,3.4705882352941178,9.058823529411764,0.17525773195876287
Wukong,23,11,0.4782608695652174,3.6956521739130435,3.652173913043478,7.260869565217392,0.11855670103092783
Naafiri,16,9,0.5625,5.8125,2.8125,8.125,0.08247422680412371
Vi,14,5,0.35714285714285715,2.2142857142857144,3.7142857142857144,6.5,0.07216494845360824
Pantheon,13,8,0.6153846153846154,5.461538461538462,3.3846153846153846,7.384615384615385,0.06701030927835051
Skarner,12,6,0.5,2.0833333333333335,2.8333333333333335,8,0.061855670103092786
Sejuani,11,5,0.45454545454545453,2,2.4545454545454546,7.181818181818182,0.05670103092783505
Trundle,11,6,0.5454545454545454,3.090909090909091,3,10.090909090909092,0.05670103092783505
Jarvan IV,10,5,0.5,2.8,3.7,10,0.05154639175257732
Nocturne,10,3,0.3,3.6,3.6,6.5,0.05154639175257732
Viego,6,4,0.6666666666666666,6.333333333333333,3,5,0.030927835051546393
Lee Sin,5,2,0.4,4,2.6,6.2,0.02577319587628866
Maokai,5,0,0,1.8,4.6,4.6,0.02577319587628866
Nidalee,5,4,0.8,3,1,8.6,0.02577319587628866
Poppy,5,3,0.6,3.4,3,7.2,0.02577319587628866
Zyra,5,2,0.4,3.8,4.2,6.2,0.02577319587628866
Lillia,3,2,0.6666666666666666,5.333333333333333,1.6666666666666667,6.333333333333333,0.015463917525773196
Ivern,2,1,0.5,0.5,1.5,10.5,0.010309278350515464
Zed,2,1,0.5,4.5,3.5,6,0.010309278350515464
Kindred,1,0,0,5,6,6,0.005154639175257732
Sylas,1,1,1,2,3,20,0.005154639175257732
