champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Azir,27,15,0.5555555555555556,4.074074074074074,2.5185185185185186,5.851851851851852,0.13917525773195877
Taliyah,25,11,0.44,2.8,2.72,7.32,0.12886597938144329
Ahri,24,12,0.5,3.9166666666666665,2.4166666666666665,7.041666666666667,0.12371134020618557
Ryze,19,12,0.631578947368421,3.210526315789474,2.3157894736842106,7.157894736842105,0.0979381443298969
Viktor,13,6,0.46153846153846156,3.230769230769231,2.3076923076923075,6.538461538461538,0.06701030927835051
Galio,12,2,0.16666666666666666,1.5,4.166666666666667,6.583333333333333,0.061855670103092786
Orianna,12,7,0.5833333333333334,2.8333333333333335,3,9,0.061855670103092786
Annie,11,8,0.7272727272727273,3.1818181818181817,3.909090909090909,9.909090909090908,0.05670103092783505
Yone,9,4,0.4444444444444444,3.111111111111111,3.3333333333333335,6.111111111111111,0.04639175257731959
Aurora,8,5,0.625,3,2.375,10,0.041237113402061855
Corki,7,1,0.14285714285714285,3.4285714285714284,3.5714285714285716,3.857142857142857,0.03608247422680412
Sylas,6,3,0.5,3.5,3.6666666666666665,5,0.030927835051546393
Akali,4,1,0.25,4.75,2.75,5,0.020618556701030927
Twisted Fate,3,3,1,3.3333333333333335,1.6666666666666667,11.333333333333334,0.015463917525773196
Smolder,2,1,0.5,3,2.5,2,0.010309278350515464
Tristana,2,0,0,4,3.5,1.5,0.010309278350515464
Cassiopeia,1,0,0,1,5,2,0.005154639175257732
Jayce,1,1,1,6,1,9,0.005154639175257732
LeBlanc,1,0,0,2,3,3,0.005154639175257732
Lee Sin,1,1,1,1,0,4,0.005154639175257732
Mel,1,0,0,5,3,4,0.005154639175257732
Morgana,1,1,1,1,1,19,0.005154639175257732
Syndra,1,1,1,7,2,10,0.005154639175257732
Viego,1,1,1,5,4,3,0.005154639175257732
Xerath,1,0,0,7,1,5,0.005154639175257732
Zoe,1,1,1,6,1,13,0.005154639175257732
