champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Kai'Sa,23,13,0.5652173913043478,5.782608695652174,2.9565217391304346,6.043478260869565,0.11855670103092783
Ezreal,19,10,0.5263157894736842,4.947368421052632,1.6842105263157894,6.157894736842105,0.0979381443298969
Lucian,19,5,0.2631578947368421,4.2105263157894735,3.4210526315789473,5.526315789473684,0.0979381443298969
Varus,17,7,0.4117647058823529,4.0588235294117645,3.588235294117647,6.705882352941177,0.08762886597938144
Zeri,16,10,0.625,5.5625,2.25,6.375,0.08247422680412371
Xayah,14,8,0.5714285714285714,4.428571428571429,2.4285714285714284,6.142857142857143,0.07216494845360824
Jhin,13,7,0.5384615384615384,5.769230769230769,2,7.538461538461538,0.06701030927835051
Miss Fortune,12,4,0.3333333333333333,2.5833333333333335,3,4.166666666666667,0.061855670103092786
Ashe,11,8,0.7272727272727273,4.545454545454546,2.5454545454545454,8.363636363636363,0.05670103092783505
Kalista,10,6,0.6,6,3.1,4.2,0.05154639175257732
Sivir,10,5,0.5,4.2,2.7,7.8,0.05154639175257732
Corki,9,5,0.5555555555555556,7.666666666666667,3.3333333333333335,5.888888888888889,0.04639175257731959
Jinx,6,2,0.3333333333333333,3.6666666666666665,3,4.5,0.030927835051546393
Senna,5,3,0.6,4.2,3,10.2,0.02577319587628866
Yunara,5,3,0.6,3.6,2.6,5.4,0.02577319587628866
Aphelios,1,0,0,2,4,1,0.005154639175257732
Caitlyn,1,0,0,3,5,1,0.005154639175257732
Draven,1,0,0,3,3,2,0.005154639175257732
Vayne,1,0,0,4,1,4,0.005154639175257732
Ziggs,1,1,1,4,0,14,0.005154639175257732
