champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Alistar,26,13,0.5,0.7692307692307693,3.4615384615384617,12.038461538461538,0.13402061855670103
Rell,22,14,0.6363636363636364,1.0454545454545454,4.045454545454546,11.909090909090908,0.1134020618556701
Rakan,21,11,0.5238095238095238,0.7619047619047619,3.0952380952380953,12,0.10824742268041238
Braum,20,8,0.4,0.4,3.65,12.45,0.10309278350515463
Neeko,18,6,0.3333333333333333,0.7777777777777778,4.111111111111111,9.333333333333334,0.09278350515463918
Leona,16,10,0.625,0.8125,4.3125,12.0625,0.08247422680412371
Renata Glasc,13,7,0.5384615384615384,0.6153846153846154,3.076923076923077,11.846153846153847,0.06701030927835051
Lulu,11,6,0.5454545454545454,0.45454545454545453,2.5454545454545454,10.090909090909092,0.05670103092783505
Nautilus,11,7,0.6363636363636364,0.5454545454545454,5.363636363636363,11.363636363636363,0.05670103092783505
Bard,5,3,0.6,1.4,2.8,10.8,0.02577319587628866
Elise,5,4,0.8,2.4,3.2,10.2,0.02577319587628866
Poppy,5,1,0.2,1.8,6.2,8,0.02577319587628866
Shen,3,2,0.6666666666666666,2,3.3333333333333335,11,0.015463917525773196
Tahm Kench,3,1,0.3333333333333333,0.3333333333333333,3.6666666666666665,8,0.015463917525773196
Gragas,2,1,0.5,1,5,6,0.010309278350515464
Karma,2,0,0,0,3,4,0.010309278350515464
Milio,2,0,0,0.5,2,11,0.010309278350515464
Nami,2,0,0,0.5,2.5,5.5,0.010309278350515464
Pantheon,2,0,0,1.5,4.5,3.5,0.010309278350515464
Ashe,1,1,1,1,3,12,0.005154639175257732
Blitzcrank,1,1,1,0,3,10,0.005154639175257732
Cho'Gath,1,0,0,2,6,0,0.005154639175257732
Maokai,1,1,1,1,1,13,0.005154639175257732
Yuumi,1,0,0,0,3,6,0.005154639175257732
