bot,sup,games,wins,winrate
Lucian,Braum,13,4,0.3076923076923077
Ezreal,Leona,8,6,0.75
Xayah,Rakan,7,4,0.5714285714285714
Kai'Sa,Neeko,6,4,0.6666666666666666
Miss Fortune,Rell,6,2,0.3333333333333333
Zeri,Lulu,6,4,0.6666666666666666
Jhin,Alistar,5,2,0.4
Kai'Sa,Alistar,5,3,0.6
Kai'Sa,Leona,5,2,0.4
Kalista,Renata Glasc,5,4,0.8
Zeri,Alistar,5,4,0.8
Ashe,Braum,4,3,0.75
Ashe,Renata Glasc,4,3,0.75
Corki,Neeko,4,1,0.25
Jinx,Lulu,3,1,0.3333333333333333
Kalista,Neeko,3,1,0.3333333333333333
Sivir,Rell,3,2,0.6666666666666666
Varus,Alistar,3,0,0
Varus,Renata Glasc,3,0,0
Ezreal,Alistar,2,1,0.5
Ezreal,Neeko,2,0,0
Ezreal,Rell,2,1,0.5
Jhin,Bard,2,1,0.5
Jhin,Rakan,2,1,0.5
Jhin,Rell,2,1,0.5
Jinx,Tahm Kench,2,1,0.5
Kai'Sa,Rakan,2,1,0.5
Kai'Sa,Rell,2,2,1
Lucian,Milio,2,0,0
Lucian,Nami,2,0,0
Miss Fortune,Rakan,2,0,0
Senna,Nautilus,2,2,1
Sivir,Bard,2,1,0.5
Varus,Nautilus,2,2,1
Varus,Rakan,2,1,0.5
Varus,Rell,2,2,1
Xayah,Alistar,2,1,0.5
Zeri,Rell,2,2,1
Aphelios,Nautilus,1,0,0
Ashe,Elise,1,1,1
Ashe,Nautilus,1,0,0
Ashe,Poppy,1,1,1
Caitlyn,Poppy,1,0,0
Corki,Bard,1,1,1
Corki,Nautilus,1,1,1
Corki,Poppy,1,0,0
Corki,Rakan,1,1,1
Corki,Rell,1,1,1
Draven,Renata Glasc,1,0,0
Ezreal,Elise,1,0,0
Ezreal,Karma,1,0,0
Ezreal,Pantheon,1,0,0
Ezreal,Rakan,1,1,1
Ezreal,Shen,1,1,1
Jhin,Maokai,1,1,1
Jhin,Nautilus,1,1,1
Jinx,Nautilus,1,0,0
Kai'Sa,Gragas,1,1,1
Kai'Sa,Pantheon,1,0,0
Kai'Sa,Poppy,1,0,0
Kalista,Ashe,1,1,1
Kalista,Shen,1,0,0
Lucian,Alistar,1,1,1
Lucian,Rell,1,0,0
Miss Fortune,Braum,1,0,0
Miss Fortune,Elise,1,1,1
Miss Fortune,Gragas,1,0,0
Miss Fortune,Nautilus,1,1,1
Senna,Alistar,1,1,1
Senna,Cho'Gath,1,0,0
Senna,Tahm Kench,1,0,0
Sivir,Alistar,1,0,0
Sivir,Braum,1,1,1
Sivir,Leona,1,0,0
Sivir,Neeko,1,0,0
Sivir,Rakan,1,1,1
Varus,Braum,1,0,0
Varus,Elise,1,1,1
Varus,Leona,1,1,1
Varus,Neeko,1,0,0
Varus,Poppy,1,0,0
Vayne,Rakan,1,0,0
Xayah,Blitzcrank,1,1,1
Xayah,Elise,1,1,1
Xayah,Lulu,1,0,0
Xayah,Nautilus,1,0,0
Xayah,Shen,1,1,1
Yunara,Alistar,1,0,0
Yunara,Lulu,1,1,1
Yunara,Neeko,1,0,0
Yunara,Rakan,1,1,1
Yunara,Rell,1,1,1
Zeri,Karma,1,0,0
Zeri,Rakan,1,0,0
Zeri,Yuumi,1,0,0
Ziggs,Leona,1,1,1
