jng,mid,games,wins,winrate
Nocturne,Orianna,6,2,0.3333333333333333
Xin Zhao,Azir,6,4,0.6666666666666666
Xin Zhao,Taliyah,6,3,0.5
Xin Zhao,Ahri,5,2,0.4
Naafiri,Taliyah,4,2,0.5
Wukong,Annie,4,4,1
Wukong,Taliyah,4,2,0.5
Xin Zhao,Galio,4,1,0.25
Jarvan IV,Taliyah,3,1,0.3333333333333333
Naafiri,Aurora,3,2,0.6666666666666666
Pantheon,Ahri,3,2,0.6666666666666666
Poppy,Azir,3,1,0.3333333333333333
Skarner,Ahri,3,1,0.3333333333333333
Skarner,Ryze,3,2,0.6666666666666666
Trundle,Ahri,3,1,0.3333333333333333
Trundle,Azir,3,2,0.6666666666666666
Vi,Ahri,3,1,0.3333333333333333
Wukong,Azir,3,2,0.6666666666666666
Wukong,Galio,3,0,0
Wukong,Ryze,3,1,0.3333333333333333
Xin Zhao,Annie,3,2,0.6666666666666666
Xin Zhao,Viktor,3,2,0.6666666666666666
Zyra,Corki,3,0,0
Jarvan IV,Ryze,2,1,0.5
Lee Sin,Azir,2,1,0.5
Maokai,Yone,2,0,0
Naafiri,Ahri,2,2,1
Naafiri,Annie,2,2,1
Naafiri,Sylas,2,0,0
Pantheon,Azir,2,1,0.5
Pantheon,Viktor,2,2,1
Sejuani,Azir,2,1,0.5
Sejuani,Corki,2,0,0
Sejuani,Yone,2,1,0.5
Vi,Azir,2,0,0
Vi,Taliyah,2,2,1
Vi,Viktor,2,1,0.5
Viego,Ahri,2,2,1
Wukong,Ahri,2,0,0
Xin Zhao,Akali,2,0,0
Xin Zhao,Orianna,2,2,1
Xin Zhao,Ryze,2,2,1
Ivern,Corki,1,1,1
Ivern,Tristana,1,0,0
Jarvan IV,Ahri,1,1,1
Jarvan IV,Akali,1,0,0
Jarvan IV,Annie,1,0,0
Jarvan IV,Aurora,1,1,1
Jarvan IV,Azir,1,1,1
Kindred,Galio,1,0,0
Lee Sin,Ryze,1,0,0
Lee Sin,Twisted Fate,1,1,1
Lee Sin,Viktor,1,0,0
Lillia,Galio,1,0,0
Lillia,Lee Sin,1,1,1
Lillia,Ryze,1,1,1
Maokai,Corki,1,0,0
Maokai,Smolder,1,0,0
Maokai,Tristana,1,0,0
Naafiri,Galio,1,0,0
Naafiri,Orianna,1,0,0
Naafiri,Ryze,1,1,1
Nidalee,Azir,1,0,0
Nidalee,Jayce,1,1,1
Nidalee,Ryze,1,1,1
Nidalee,Sylas,1,1,1
Nidalee,Yone,1,1,1
Nocturne,Annie,1,0,0
Nocturne,Ryze,1,0,0
Nocturne,Taliyah,1,0,0
Nocturne,Viktor,1,1,1
Pantheon,Akali,1,1,1
Pantheon,Aurora,1,1,1
Pantheon,Galio,1,0,0
Pantheon,LeBlanc,1,0,0
Pantheon,Morgana,1,1,1
Pantheon,Taliyah,1,0,0
Poppy,Ryze,1,1,1
Poppy,Sylas,1,1,1
Sejuani,Aurora,1,1,1
Sejuani,Ryze,1,1,1
Sejuani,Taliyah,1,0,0
Sejuani,Viego,1,1,1
Sejuani,Viktor,1,0,0
Skarner,Azir,1,1,1
Skarner,Smolder,1,1,1
Skarner,Taliyah,1,0,0
Skarner,Twisted Fate,1,1,1
Skarner,Viktor,1,0,0
Skarner,Yone,1,0,0
Sylas,Yone,1,1,1
Trundle,Aurora,1,0,0
Trundle,Orianna,1,1,1
Trundle,Ryze,1,1,1
Trundle,Taliyah,1,0,0
Trundle,Twisted Fate,1,1,1
Vi,Cassiopeia,1,0,0
Vi,Orianna,1,1,1
Vi,Ryze,1,0,0
Vi,Xerath,1,0,0
Vi,Yone,1,0,0
Viego,Sylas,1,0,0
Viego,Taliyah,1,1,1
Viego,Viktor,1,0,0
Viego,Zoe,1,1,1
Wukong,Aurora,1,0,0
Wukong,Orianna,1,1,1
Wukong,Syndra,1,1,1
Wukong,Viktor,1,0,0
Xin Zhao,Sylas,1,1,1
Zed,Galio,1,1,1
Zed,Mel,1,0,0
Zyra,Azir,1,1,1
Zyra,Yone,1,1,1
