top,jng,games,wins,winrate
Ambessa,Xin Zhao,9,5,0.5555555555555556
Rumble,Wukong,9,5,0.5555555555555556
Gwen,Xin Zhao,7,5,0.7142857142857143
Ambessa,Jarvan IV,4,1,0.25
Gwen,Wukong,4,1,0.25
Jayce,Skarner,4,3,0.75
Renekton,Xin Zhao,4,3,0.75
Rumble,Xin Zhao,4,3,0.75
Gwen,Naafiri,3,1,0.3333333333333333
Jax,Pantheon,3,3,1
K'Sante,Vi,3,0,0
K'Sante,Zyra,3,1,0.3333333333333333
Sion,Viego,3,3,1
Aatrox,Nocturne,2,1,0.5
Aatrox,Pantheon,2,2,1
Aatrox,Trundle,2,0,0
Ambessa,Naafiri,2,1,0.5
Ambessa,Sejuani,2,2,1
Gnar,Vi,2,1,0.5
Gwen,Nocturne,2,0,0
Gwen,Sejuani,2,1,0.5
Jax,Naafiri,2,1,0.5
Jax,Vi,2,1,0.5
Jayce,Nidalee,2,1,0.5
Jayce,Pantheon,2,1,0.5
Jayce,Poppy,2,0,0
Jayce,Sejuani,2,0,0
Jayce,Wukong,2,0,0
Jayce,Xin Zhao,2,0,0
K'Sante,Nocturne,2,0,0
K'Sante,Wukong,2,2,1
Renekton,Vi,2,1,0.5
Renekton,Viego,2,1,0.5
Rumble,Naafiri,2,2,1
Rumble,Pantheon,2,1,0.5
Rumble,Skarner,2,1,0.5
Rumble,Vi,2,1,0.5
Sion,Jarvan IV,2,2,1
Sion,Lee Sin,2,2,1
Sion,Naafiri,2,1,0.5
Sion,Trundle,2,2,1
Sion,Vi,2,1,0.5
Sion,Xin Zhao,2,0,0
Yorick,Nocturne,2,1,0.5
Yorick,Wukong,2,1,0.5
Aatrox,Maokai,1,0,0
Aatrox,Naafiri,1,1,1
Aatrox,Sejuani,1,1,1
Ambessa,Lee Sin,1,0,0
Ambessa,Lillia,1,0,0
Ambessa,Nidalee,1,1,1
Ambessa,Pantheon,1,0,0
Ambessa,Poppy,1,1,1
Ambessa,Skarner,1,1,1
Ambessa,Wukong,1,0,0
Ambessa,Zyra,1,0,0
Aurora,Naafiri,1,0,0
Aurora,Nidalee,1,1,1
Aurora,Sejuani,1,0,0
Aurora,Trundle,1,1,1
Aurora,Wukong,1,1,1
Camille,Xin Zhao,1,1,1
Camille,Zed,1,0,0
Fiora,Skarner,1,1,1
Galio,Nocturne,1,0,0
Gnar,Sejuani,1,0,0
Gnar,Skarner,1,0,0
Gnar,Viego,1,0,0
Gragas,Naafiri,1,0,0
Gragas,Xin Zhao,1,1,1
Gwen,Ivern,1,0,0
Gwen,Maokai,1,0,0
Gwen,Pantheon,1,1,1
Gwen,Skarner,1,0,0
Gwen,Vi,1,0,0
Jax,Maokai,1,0,0
Jax,Sejuani,1,1,1
Jax,Skarner,1,0,0
Jax,Trundle,1,1,1
Jax,Wukong,1,0,0
Jax,Xin Zhao,1,1,1
Jayce,Kindred,1,0,0
Jayce,Naafiri,1,1,1
Jayce,Trundle,1,1,1
K'Sante,Jarvan IV,1,1,1
K'Sante,Lee Sin,1,0,0
K'Sante,Naafiri,1,1,1
K'Sante,Pantheon,1,0,0
K'Sante,Skarner,1,0,0
K'Sante,Trundle,1,0,0
Kennen,Poppy,1,1,1
Nidalee,Poppy,1,1,1
Olaf,Xin Zhao,1,0,0
Ornn,Trundle,1,0,0
Ornn,Xin Zhao,1,0,0
Poppy,Nidalee,1,1,1
Renekton,Jarvan IV,1,0,0
Renekton,Lillia,1,1,1
Renekton,Nocturne,1,1,1
Renekton,Trundle,1,1,1
Renekton,Wukong,1,1,1
Renekton,Zyra,1,1,1
Rumble,Ivern,1,1,1
Rumble,Jarvan IV,1,1,1
Rumble,Lillia,1,1,1
Rumble,Maokai,1,0,0
Rumble,Sejuani,1,0,0
Rumble,Trundle,1,0,0
Rumble,Zed,1,1,1
Sion,Maokai,1,0,0
Sion,Sylas,1,1,1
Yorick,Jarvan IV,1,0,0
Yorick,Lee Sin,1,0,0
Yorick,Pantheon,1,0,0
Yorick,Xin Zhao,1,0,0
