pick1,games,wins,winrate
Azir,11,8,0.7272727272727273
Naafiri,8,5,0.625
Gwen,7,0,0
Rumble,6,4,0.6666666666666666
Varus,6,4,0.6666666666666666
Pantheon,5,4,0.8
Vi,5,3,0.6
Wukong,5,2,0.4
Xin Zhao,5,4,0.8
Jayce,4,1,0.25
Kalista,4,3,0.75
K'Sante,3,2,0.6666666666666666
Ryze,3,2,0.6666666666666666
Taliyah,3,1,0.3333333333333333
Yunara,3,1,0.3333333333333333
Ambessa,2,2,1
Corki,2,0,0
Sion,2,2,1
Trundle,2,1,0.5
Viktor,2,1,0.5
Ahri,1,1,1
Ashe,1,1,1
Neeko,1,1,1
Orianna,1,0,0
Sejuani,1,1,1
Sivir,1,1,1
Skarner,1,1,1
Twisted Fate,1,1,1
Yone,1,1,1
