champ,games,rank,group
Azir,15,1,1
Rell,14,2,1
Alistar,13,3,1
Gwen,13,4,1
Naafiri,13,5,1
Rumble,13,6,1
Ahri,12,7,1
Jayce,12,8,1
K'Sante,12,9,1
Neeko,12,10,1
Kai'Sa,11,11,2
Ryze,11,12,2
Taliyah,11,13,2
Wukong,11,14,2
Xin Zhao,11,15,2
Ambessa,10,16,2
Jax,10,17,2
Aurora,9,18,2
Braum,9,19,2
Corki,9,20,2
Nautilus,9,21,3
Varus,9,22,3
Ashe,8,23,3
Lucian,8,24,3
Kalista,7,25,3
Leona,7,26,3
Miss Fortune,7,27,3
Nocturne,7,28,3
Orianna,7,29,3
Pantheon,7,30,3
Sion,7,31,4
Sivir,7,32,4
Skarner,7,33,4
Trundle,7,34,4
Xayah,7,35,4
Zeri,7,36,4
