champ,games
Gnar,1
Ivern,1
Milio,1
Morgana,1
Nami,1
Tristana,1
Ziggs,1
Zoe,1
Akali,2
Bard,2
Gragas,2
Lillia,2
Nidalee,2
Ornn,2
Senna,2
Sylas,2
Tahm Kench,2
Viego,2
Jarvan IV,3
Maokai,3
Twisted Fate,3
Yone,3
Yorick,3
Yunara,3
Elise,4
Jhin,4
Poppy,4
Renekton,4
Zyra,4
Annie,5
Galio,5
Aatrox,6
Ezreal,6
Jinx,6
Lee Sin,6
Lulu,6
Rakan,6
Renata Glasc,6
Sejuani,6
Vi,6
Viktor,6
Kalista,7
Leona,7
Miss Fortune,7
Nocturne,7
Orianna,7
Pantheon,7
Sion,7
Sivir,7
Skarner,7
Trundle,7
Xayah,7
Zeri,7
Ashe,8
Lucian,8
Aurora,9
Braum,9
Corki,9
Nautilus,9
Varus,9
Ambessa,10
Jax,10
Kai'Sa,11
Ryze,11
Taliyah,11
Wukong,11
Xin Zhao,11
Ahri,12
Jayce,12
K'Sante,12
Neeko,12
Alistar,13
Gwen,13
Naafiri,13
Rumble,13
Rell,14
Azir,15
