gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184086,15.01,BNK FEARX,Rumble,Corki,Maokai,Kai'Sa,Leona,1914,0,7,27,13,7,27,0,0,0,0,1,0.2194,1.0658,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_183991,15.01,BNK FEARX,K'Sante,Wukong,Taliyah,Zeri,Rell,1659,1,27,8,69,27,8,4,2,0,0,1,0.9765,1.2658,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT03_184105,15.01,KT Rolster,Sejuani,Jax,Azir,Jinx,Lulu,1771,1,16,6,40,16,6,5,0,0,0,1,0.5421,0.7453,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_187470,15.01,BNK FEARX,K'Sante,Zyra,Corki,Alistar,Ezreal,2405,0,25,22,62,25,22,1,0,0,0,0,0.6237,1.1726,0,2,4,2,4,0,0,2,0,0,0
LOLTMNT03_187471,15.01,BNK FEARX,Jayce,Wukong,Galio,Jinx,Tahm Kench,1751,0,10,22,32,10,22,1,0,0,0,0,0.3427,1.0965,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_188641,15.01,Dplus KIA,Skarner,Ambessa,Leona,Ziggs,Ahri,1649,1,23,3,62,23,3,5,0,0,0,0,0.8369,0.946,0,2,2,2,2,0,0,2,0,0,0
LOLTMNT03_188645,15.01,BNK FEARX,K'Sante,Wukong,Azir,Zeri,Alistar,1898,1,17,6,39,17,6,1,1,0,0,1,0.5374,0.7271,1,2,2,2,2,0,0,0,1,0,1
LOLTMNT03_188655,15.01,Dplus KIA,Ashe,Viego,Braum,Sion,Zoe,1568,1,24,7,71,24,7,5,0,0,0,0,0.9184,1.1862,0,1,2,1,2,0,0,0,1,0,0
LOLTMNT03_191023,15.01,DRX,Ambessa,Kai'Sa,Rell,Nidalee,Jayce,1809,1,17,3,35,17,3,2,0,0,0,1,0.5638,0.6633,0,4,1,4,1,0,0,1,3,0,0
LOLTMNT03_191028,15.01,BNK FEARX,Varus,Azir,Xin Zhao,Renekton,Elise,1654,1,19,15,35,19,15,3,1,0,0,1,0.6892,1.2334,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_191030,15.01,DRX,Rumble,Ashe,Braum,Lee Sin,Lillia,2044,1,18,7,38,18,7,5,1,0,0,1,0.5284,0.7339,0,3,2,3,2,3,0,0,0,0,0
LOLTMNT01_198801,15.02,Nongshim RedForce,Ambessa,Elise,Sejuani,Xayah,Aurora,1655,1,23,11,48,23,11,2,0,0,0,1,0.8338,1.2326,1,1,1,1,1,0,0,1,0,0,0
LOLTMNT01_198810,15.02,BNK FEARX,Vi,Azir,Jax,Miss Fortune,Rell,1788,0,3,15,6,3,15,0,0,0,0,0,0.1007,0.604,0,2,2,2,2,0,0,1,0,1,0
LOLTMNT02_241987,15.06,BNK FEARX,Gwen,Maokai,Yone,Miss Fortune,Rell,1720,0,3,20,10,3,20,1,0,0,0,1,0.1047,0.8023,1,1,2,1,2,0,0,0,1,0,0
LOLTMNT02_243004,15.06,BNK FEARX,Kalista,Xin Zhao,Renata Glasc,Jax,Ahri,1587,1,22,7,51,22,7,4,3,1,0,0,0.8318,1.0964,1,4,0,4,0,1,0,0,0,1,2
LOLTMNT02_242946,15.06,Dplus KIA,Naafiri,Aatrox,Aurora,Kai'Sa,Gragas,2215,1,18,12,48,18,12,5,1,0,0,0,0.4876,0.8126,0,3,3,3,3,2,0,0,1,0,0
LOLTMNT02_244356,15.06,OKSavingsBank BRION,Vi,Renekton,Taliyah,Corki,Rell,1930,1,22,8,59,22,8,4,1,0,0,1,0.6839,0.9326,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT02_243459,15.06,BNK FEARX,Rumble,Ryze,Wukong,Xayah,Alistar,2020,1,16,9,37,16,9,3,1,0,0,0,0.4752,0.7426,0,3,2,3,2,0,0,1,0,2,0
LOLTMNT02_244383,15.06,OKSavingsBank BRION,Gwen,Ivern,Tristana,Ashe,Nautilus,1499,0,6,15,11,6,15,1,0,0,0,1,0.2402,0.8406,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_218624,15.07,BNK FEARX,Naafiri,Taliyah,Jayce,Xayah,Rakan,1980,1,18,7,41,18,7,2,0,0,0,1,0.5455,0.7576,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_218633,15.07,DRX,Corki,Miss Fortune,Ambessa,Rell,Zyra,2001,0,10,23,24,10,23,0,0,0,0,1,0.2999,0.9895,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_222019,15.07,KT Rolster,Kalista,Neeko,Jayce,Sylas,Nidalee,1799,1,17,9,35,17,9,2,0,0,0,0,0.567,0.8671,1,3,1,3,1,0,0,1,0,1,1
LOLTMNT03_221610,15.07,BNK FEARX,Azir,Ezreal,Leona,Zyra,K'Sante,1744,1,14,6,31,14,6,2,1,0,0,1,0.4817,0.6881,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_221634,15.07,KT Rolster,Ahri,Ashe,Pantheon,Aatrox,Elise,1575,1,24,8,53,24,8,2,1,0,0,1,0.9143,1.219,0,3,1,3,1,0,0,0,2,0,1
LOLTMNT03_229121,15.07,BNK FEARX,Varus,Naafiri,Taliyah,Nautilus,Jax,2070,1,19,13,45,19,13,3,0,0,0,1,0.5507,0.9275,1,4,1,4,1,1,1,2,0,0,0
LOLTMNT03_229164,15.07,Gen.G,Xin Zhao,Viktor,Ambessa,Ashe,Renata Glasc,1810,1,29,11,69,29,11,5,1,0,0,1,0.9613,1.326,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT03_229200,15.07,BNK FEARX,Corki,Zyra,K'Sante,Zeri,Lulu,1474,0,0,20,0,0,20,0,0,0,0,0,0,0.8141,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_229809,15.07,BNK FEARX,Varus,Naafiri,Taliyah,Jax,Poppy,2254,0,12,22,27,12,22,2,0,0,0,0,0.3194,0.9051,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT03_229822,15.07,BNK FEARX,Jayce,Skarner,Ryze,Miss Fortune,Rell,2019,1,16,10,36,16,10,0,0,0,0,0,0.4755,0.7727,0,3,2,3,2,0,0,0,3,0,0
