pick1,games,wins,winrate
Azir,9,4,0.4444444444444444
Rumble,8,4,0.5
Gwen,7,4,0.5714285714285714
Taliyah,6,2,0.3333333333333333
Xin Zhao,6,2,0.3333333333333333
Jayce,4,0,0
Lucian,4,1,0.25
Sion,4,3,0.75
Ezreal,3,2,0.6666666666666666
Nidalee,3,2,0.6666666666666666
Varus,3,0,0
Vi,3,0,0
Wukong,3,3,1
Ahri,2,1,0.5
Ambessa,2,0,0
Annie,2,2,1
Aurora,2,1,0.5
Renata Glasc,2,1,0.5
Renekton,2,1,0.5
Ryze,2,0,0
Ashe,1,1,1
Corki,1,0,0
Galio,1,0,0
Jarvan IV,1,0,0
Jhin,1,0,0
K'Sante,1,0,0
Maokai,1,0,0
Miss Fortune,1,0,0
Naafiri,1,0,0
Neeko,1,0,0
Nocturne,1,0,0
Orianna,1,1,1
Poppy,1,1,1
Sejuani,1,0,0
Skarner,1,0,0
Trundle,1,1,1
Viktor,1,1,1
Xayah,1,0,0
Yorick,1,0,0
Yunara,1,1,1
