champ,games
Aphelios,1
Blitzcrank,1
Caitlyn,1
Cassiopeia,1
Cho'Gath,1
Draven,1
Elise,1
Fiora,1
Ivern,1
Kennen,1
Kindred,1
LeBlanc,1
Lillia,1
Mel,1
Milio,1
Nami,1
Olaf,1
Syndra,1
Tahm Kench,1
Tristana,1
Vayne,1
Xerath,1
Yuumi,1
Zyra,1
Akali,2
Camille,2
Gragas,2
Karma,2
Nautilus,2
Smolder,2
Yunara,2
Zed,2
Aatrox,3
Bard,3
Jax,3
Kalista,3
Maokai,3
Naafiri,3
Nocturne,3
Senna,3
Shen,3
Sivir,3
Ashe,4
Aurora,4
Gnar,4
K'Sante,4
Nidalee,4
Trundle,4
Lulu,5
Miss Fortune,5
Orianna,5
Sejuani,5
Skarner,5
Sylas,5
Viego,5
Yorick,5
Annie,6
Neeko,6
Yone,6
Corki,7
Jarvan IV,7
Poppy,7
Renata Glasc,7
Viktor,7
Xayah,7
Galio,8
Jayce,8
Pantheon,8
Rell,8
Ryze,8
Varus,8
Vi,8
Jhin,9
Leona,9
Zeri,9
Gwen,10
Renekton,10
Sion,10
Braum,11
Lucian,11
Ahri,12
Azir,12
Kai'Sa,12
Wukong,12
Alistar,13
Ezreal,13
Taliyah,14
Ambessa,15
Rakan,15
Rumble,15
Xin Zhao,23
