gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184086,15.01,KT Rolster,Ashe,Yone,Zyra,Renekton,Braum,1914,1,27,7,61,27,7,4,0,0,0,0,0.8464,1.0658,1,4,0,4,0,1,0,1,0,0,2
LOLTMNT03_183991,15.01,KT Rolster,Xin Zhao,Caitlyn,Jayce,Viktor,Poppy,1659,0,8,27,15,8,27,1,1,0,0,0,0.2893,1.2658,1,3,1,3,1,1,1,0,0,0,1
LOLTMNT03_184105,15.01,BNK FEARX,Ambessa,Rakan,Xayah,Akali,Jarvan IV,1771,0,6,16,19,6,16,1,0,0,0,0,0.2033,0.7453,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_187470,15.01,Gen.G,Nidalee,Varus,Yone,Leona,Aurora,2405,1,22,25,54,22,25,3,0,0,0,1,0.5489,1.1726,1,4,2,4,2,0,1,2,0,0,1
LOLTMNT03_187471,15.01,Gen.G,Xin Zhao,Ambessa,Sylas,Rell,Miss Fortune,1751,1,22,10,53,22,10,4,1,0,0,1,0.7539,1.0965,1,3,0,3,0,1,1,0,0,0,1
LOLTMNT03_188641,15.01,BNK FEARX,Rumble,Varus,Vi,Renata Glasc,Yone,1649,0,3,23,6,3,23,0,0,0,0,1,0.1092,0.946,1,2,2,2,2,0,1,0,1,0,0
LOLTMNT03_188645,15.01,Dplus KIA,Jayce,Sejuani,Ezreal,Viktor,Pantheon,1898,0,6,17,15,6,17,0,0,0,0,0,0.1897,0.7271,0,2,2,2,2,0,0,1,1,0,0
LOLTMNT03_188655,15.01,BNK FEARX,Xin Zhao,Kalista,Neeko,Renekton,Galio,1568,0,7,24,17,7,24,0,0,0,0,1,0.2679,1.1862,1,2,1,2,1,1,0,1,0,0,0
LOLTMNT03_191023,15.01,BNK FEARX,Ezreal,Leona,Jax,Wukong,Taliyah,1809,0,3,17,5,3,17,0,0,0,0,0,0.0995,0.6633,1,1,4,1,4,0,0,0,0,0,1
LOLTMNT03_191028,15.01,DRX,Vi,Gnar,Rakan,Miss Fortune,Xerath,1654,0,15,19,30,15,19,2,0,0,0,0,0.5441,1.2334,0,1,3,1,3,0,0,0,1,0,0
LOLTMNT03_191030,15.01,BNK FEARX,Corki,Sejuani,Zeri,Yuumi,Aurora,2044,0,7,18,19,7,18,1,0,0,0,0,0.2055,0.7339,1,2,3,2,3,0,1,1,0,0,0
LOLTMNT01_198801,15.02,BNK FEARX,Jayce,Poppy,Kai'Sa,Wukong,Viktor,1655,0,11,23,19,11,23,1,0,0,0,0,0.3988,1.2326,0,1,1,1,1,0,0,0,1,0,0
LOLTMNT01_198810,15.02,Nongshim RedForce,Xin Zhao,Ezreal,Galio,Camille,Shen,1788,1,15,3,39,15,3,1,1,0,0,1,0.5034,0.604,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT02_241987,15.06,Dplus KIA,Rumble,Ezreal,Corki,Ivern,Leona,1720,1,20,3,48,20,3,2,0,0,0,0,0.6977,0.8023,0,2,1,2,1,0,1,1,0,0,0
LOLTMNT02_243004,15.06,Dplus KIA,Skarner,Gnar,Cho'Gath,Senna,Taliyah,1587,0,7,22,16,7,22,1,0,0,0,1,0.2647,1.0964,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_242946,15.06,BNK FEARX,K'Sante,Vi,Azir,Ashe,Braum,2215,0,12,18,34,12,18,1,0,0,0,1,0.3251,0.8126,1,3,3,3,3,2,0,1,0,0,0
LOLTMNT02_244356,15.06,BNK FEARX,Naafiri,Ambessa,Ezreal,Sylas,Elise,1930,0,8,22,18,8,22,1,0,0,0,0,0.2487,0.9326,1,3,1,3,1,1,1,1,0,0,0
LOLTMNT02_243459,15.06,OKSavingsBank BRION,Ahri,Xin Zhao,Jayce,Rakan,Zeri,2020,0,9,16,18,9,16,1,0,0,0,1,0.2673,0.7426,1,2,3,2,3,0,0,0,1,1,0
LOLTMNT02_244383,15.06,BNK FEARX,Azir,Skarner,Leona,Kai'Sa,Fiora,1499,1,15,6,34,15,6,2,1,0,0,0,0.6004,0.8406,1,3,0,3,0,1,1,1,0,0,0
LOLTMNT03_218624,15.07,DRX,Azir,Xin Zhao,Sion,Kai'Sa,Pantheon,1980,0,7,18,14,7,18,0,0,0,0,0,0.2121,0.7576,0,3,1,3,1,1,0,0,2,0,0
LOLTMNT03_218633,15.07,BNK FEARX,Ezreal,Ahri,Renekton,Viego,Leona,2001,1,23,10,48,23,10,3,1,0,0,0,0.6897,0.9895,1,4,1,4,1,1,0,2,0,0,1
LOLTMNT03_222019,15.07,BNK FEARX,Taliyah,Xin Zhao,Sion,Rakan,Xayah,1799,0,9,17,18,9,17,0,0,0,0,1,0.3002,0.8671,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT03_221610,15.07,KT Rolster,Varus,Viktor,Alistar,Viego,Gnar,1744,0,6,14,13,6,14,0,0,0,0,0,0.2064,0.6881,1,2,2,2,2,0,1,0,0,0,1
LOLTMNT03_221634,15.07,BNK FEARX,Miss Fortune,Lillia,Rell,Ambessa,Galio,1575,0,8,24,20,8,24,0,0,0,0,0,0.3048,1.219,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_229121,15.07,Gen.G,Azir,Miss Fortune,Sejuani,Gnar,Braum,2070,0,13,19,36,13,19,4,0,0,0,0,0.3768,0.9275,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_229164,15.07,BNK FEARX,Xayah,Rakan,Renekton,Viego,Sylas,1810,0,11,29,15,11,29,1,1,0,0,0,0.3646,1.326,0,2,2,2,2,1,0,0,0,1,0
LOLTMNT03_229200,15.07,Gen.G,Nidalee,Jhin,Alistar,Poppy,Ryze,1474,1,20,0,40,20,0,3,1,0,0,1,0.8141,0.8141,1,3,0,3,0,1,1,0,0,0,1
LOLTMNT03_229809,15.07,T1,Azir,Xin Zhao,Ezreal,Rakan,Gragas,2254,1,22,12,54,22,12,3,0,0,0,1,0.5856,0.9051,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT03_229822,15.07,T1,Sejuani,Gwen,Corki,Ashe,Renata Glasc,2019,0,10,16,27,10,16,0,0,0,0,1,0.2972,0.7727,1,2,3,2,3,0,0,1,0,1,0
LOLTMNT03_230810,15.07,BNK FEARX,Sion,Viego,Ahri,Alistar,Zeri,1712,1,14,3,31,14,3,0,0,0,0,1,0.4907,0.5958,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_228803,15.08,BNK FEARX,Varus,Rumble,Skarner,Yone,Renata Glasc,1832,0,15,30,40,15,30,1,0,0,0,0,0.4913,1.4738,1,2,3,2,3,0,1,0,0,0,1
LOLTMNT01_228821,15.08,Nongshim RedForce,Azir,Poppy,Kai'Sa,Leona,Nidalee,1946,1,22,17,51,22,17,4,0,0,0,1,0.6783,1.2025,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_232663,15.08,BNK FEARX,Jayce,Azir,Ezreal,Poppy,Karma,2403,0,18,17,32,18,17,2,0,0,0,1,0.4494,0.8739,1,4,1,4,0,0,1,1,0,2,0
