champ,games
Akali,1
Ashe,1
Aurora,1
Elise,1
Lillia,1
Milio,1
Morgana,1
Nami,1
Orianna,1
Sejuani,1
Sylas,1
Vi,1
Viktor,1
Yone,1
Aatrox,2
Jarvan IV,2
Jhin,2
Lee Sin,2
Maokai,2
Poppy,2
Renata Glasc,2
Renekton,2
Tahm Kench,2
Twisted Fate,2
Corki,3
Jinx,3
Lulu,3
Miss Fortune,3
Nautilus,3
Nocturne,3
Rakan,3
Sion,3
Sivir,3
Zyra,3
Annie,4
Braum,4
Galio,4
Kalista,4
Pantheon,4
Xayah,4
Zeri,4
Ahri,5
Lucian,5
Neeko,5
Ezreal,6
Jax,6
Leona,6
Ryze,6
Skarner,6
Xin Zhao,6
Gwen,7
Kai'Sa,7
Alistar,8
Jayce,8
Rell,8
Varus,8
Wukong,8
K'Sante,9
Naafiri,9
Taliyah,9
Azir,10
Rumble,11
