gameid,patch,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184086,15.01,Rumble,Corki,Maokai,Kai'Sa,Leona,1914,0,7,27,13,7,27,0,0,0,0,1,0.2194,1.0658,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT03_183991,15.01,K'Sante,Wukong,Taliyah,Zeri,Rell,1659,1,27,8,69,27,8,4,2,0,0,1,0.9765,1.2658,0,1,3,1,3,0,1,0,0,0,0
LOLTMNT03_187470,15.01,K'Sante,Zyra,Corki,Alistar,Ezreal,2405,0,25,22,62,25,22,1,0,0,0,0,0.6237,1.1726,0,2,4,2,4,0,0,2,0,0,0
LOLTMNT03_187471,15.01,Jayce,Wukong,Galio,Jinx,Tahm Kench,1751,0,10,22,32,10,22,1,0,0,0,0,0.3427,1.0965,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_188645,15.01,K'Sante,Wukong,Azir,Zeri,Alistar,1898,1,17,6,39,17,6,1,1,0,0,1,0.5374,0.7271,1,2,2,2,2,0,0,0,1,0,1
LOLTMNT03_191028,15.01,Varus,Azir,Xin Zhao,Renekton,Elise,1654,1,19,15,35,19,15,3,1,0,0,1,0.6892,1.2334,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT01_198810,15.02,Vi,Azir,Jax,Miss Fortune,Rell,1788,0,3,15,6,3,15,0,0,0,0,0,0.1007,0.604,0,2,2,2,2,0,0,1,0,1,0
LOLTMNT02_241987,15.06,Gwen,Maokai,Yone,Miss Fortune,Rell,1720,0,3,20,10,3,20,1,0,0,0,1,0.1047,0.8023,1,1,2,1,2,0,0,0,1,0,0
LOLTMNT02_243004,15.06,Kalista,Xin Zhao,Renata Glasc,Jax,Ahri,1587,1,22,7,51,22,7,4,3,1,0,0,0.8318,1.0964,1,4,0,4,0,1,0,0,0,1,2
LOLTMNT02_243459,15.06,Rumble,Ryze,Wukong,Xayah,Alistar,2020,1,16,9,37,16,9,3,1,0,0,0,0.4752,0.7426,0,3,2,3,2,0,0,1,0,2,0
LOLTMNT03_218624,15.07,Naafiri,Taliyah,Jayce,Xayah,Rakan,1980,1,18,7,41,18,7,2,0,0,0,1,0.5455,0.7576,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_221610,15.07,Azir,Ezreal,Leona,Zyra,K'Sante,1744,1,14,6,31,14,6,2,1,0,0,1,0.4817,0.6881,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_229121,15.07,Varus,Naafiri,Taliyah,Nautilus,Jax,2070,1,19,13,45,19,13,3,0,0,0,1,0.5507,0.9275,1,4,1,4,1,1,1,2,0,0,0
LOLTMNT03_229200,15.07,Corki,Zyra,K'Sante,Zeri,Lulu,1474,0,0,20,0,0,20,0,0,0,0,0,0,0.8141,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_229809,15.07,Varus,Naafiri,Taliyah,Jax,Poppy,2254,0,12,22,27,12,22,2,0,0,0,0,0.3194,0.9051,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT03_229822,15.07,Jayce,Skarner,Ryze,Miss Fortune,Rell,2019,1,16,10,36,16,10,0,0,0,0,0,0.4755,0.7727,0,3,2,3,2,0,0,0,3,0,0
LOLTMNT01_228821,15.08,Naafiri,Taliyah,Ezreal,Rell,Sion,1946,0,17,22,48,17,22,3,0,0,0,0,0.5242,1.2025,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_233515,15.08,Kalista,Ashe,Ryze,Lillia,Renekton,1735,1,15,7,48,15,7,3,0,0,0,1,0.5187,0.7608,1,3,1,3,1,0,2,0,1,0,0
LOLTMNT01_237541,15.08,Jayce,Taliyah,Sejuani,Kai'Sa,Alistar,2090,0,7,15,22,7,15,0,0,0,0,1,0.201,0.6316,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT01_238088,15.08,Kalista,Neeko,Jax,Viktor,Skarner,1860,0,11,18,23,11,18,2,0,0,0,0,0.3548,0.9355,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT01_240045,15.08,Jayce,Skarner,Ahri,Lucian,Milio,2656,0,18,22,41,18,22,2,1,0,0,1,0.4066,0.9036,0,3,4,3,4,1,0,0,0,0,2
LOLTMNT02_257604,15.09,Naafiri,Rumble,Annie,Ezreal,Leona,1701,1,29,10,80,29,10,4,1,0,0,1,1.0229,1.3757,0,3,1,3,1,0,0,2,0,0,1
LOLTMNT02_258663,15.09,Ryze,Jayce,Skarner,Jinx,Tahm Kench,1733,1,13,8,33,13,8,1,1,1,1,0,0.4501,0.7271,1,4,0,4,0,1,0,0,2,0,1
LOLTMNT02_262815,15.09,Naafiri,Lucian,Nami,Sylas,Aurora,1872,0,7,15,10,7,15,0,0,0,0,0,0.2244,0.7051,0,2,2,2,2,0,0,0,1,1,0
LOLTMNT02_265983,15.09,Azir,Rumble,Xin Zhao,Kai'Sa,Neeko,1714,1,21,10,49,21,10,3,1,0,0,0,0.7351,1.0852,0,2,3,2,3,0,1,0,0,1,0
