bot,sup,games,wins,winrate
Ezreal,Leona,7,5,0.7142857142857143
Lucian,Braum,7,2,0.2857142857142857
Kai'Sa,Alistar,5,3,0.6
Xayah,Rakan,5,2,0.4
Kai'Sa,Leona,4,1,0.25
Miss Fortune,Rell,4,1,0.25
Kai'Sa,Neeko,3,2,0.6666666666666666
Kalista,Renata Glasc,3,3,1
Varus,Renata Glasc,3,0,0
Ezreal,Neeko,2,0,0
Jhin,Alistar,2,1,0.5
Jinx,Tahm Kench,2,1,0.5
Kai'Sa,Rakan,2,1,0.5
Kalista,Neeko,2,0,0
Lucian,Milio,2,0,0
Varus,Nautilus,2,2,1
Varus,Rell,2,2,1
Xayah,Alistar,2,1,0.5
Zeri,Alistar,2,2,1
Zeri,Lulu,2,1,0.5
Zeri,Rell,2,2,1
Ashe,Braum,1,0,0
Corki,Neeko,1,0,0
Corki,Rakan,1,1,1
Ezreal,Alistar,1,0,0
Ezreal,Elise,1,0,0
Ezreal,Karma,1,0,0
Ezreal,Rell,1,0,0
Jhin,Bard,1,1,1
Jhin,Rakan,1,0,0
Jhin,Rell,1,1,1
Jinx,Lulu,1,0,0
Kai'Sa,Poppy,1,0,0
Kai'Sa,Rell,1,1,1
Kalista,Ashe,1,1,1
Lucian,Alistar,1,1,1
Lucian,Nami,1,0,0
Sivir,Alistar,1,0,0
Sivir,Braum,1,1,1
Sivir,Leona,1,0,0
Sivir,Neeko,1,0,0
Sivir,Rakan,1,1,1
Sivir,Rell,1,1,1
Varus,Alistar,1,0,0
Varus,Elise,1,1,1
Varus,Poppy,1,0,0
Varus,Rakan,1,0,0
Vayne,Rakan,1,0,0
Xayah,Nautilus,1,0,0
Yunara,Lulu,1,1,1
Yunara,Rakan,1,1,1
Zeri,Karma,1,0,0
Zeri,Yuumi,1,0,0
