top,jng,games,wins,winrate
Rumble,Wukong,8,4,0.5
Ambessa,Xin Zhao,5,2,0.4
Jayce,Skarner,4,3,0.75
Rumble,Xin Zhao,4,3,0.75
Gwen,Xin Zhao,3,1,0.3333333333333333
K'Sante,Zyra,3,1,0.3333333333333333
Renekton,Xin Zhao,3,2,0.6666666666666666
Aatrox,Nocturne,2,1,0.5
Ambessa,Jarvan IV,2,0,0
Gwen,Naafiri,2,0,0
Gwen,Wukong,2,1,0.5
Jax,Naafiri,2,1,0.5
Jax,Pantheon,2,2,1
Jayce,Poppy,2,0,0
Jayce,Wukong,2,0,0
K'Sante,Vi,2,0,0
K'Sante,Wukong,2,2,1
Renekton,Viego,2,1,0.5
Rumble,Naafiri,2,2,1
Rumble,Vi,2,1,0.5
Sion,Lee Sin,2,2,1
Sion,Naafiri,2,1,0.5
Yorick,Wukong,2,1,0.5
Aatrox,Pantheon,1,1,1
Ambessa,Lillia,1,0,0
Ambessa,Naafiri,1,0,0
Aurora,Naafiri,1,0,0
Aurora,Sejuani,1,0,0
Fiora,Skarner,1,1,1
Gwen,Maokai,1,0,0
Gwen,Nocturne,1,0,0
Gwen,Skarner,1,0,0
Jax,Skarner,1,0,0
Jax,Vi,1,0,0
Jax,Wukong,1,0,0
Jax,Xin Zhao,1,1,1
Jayce,Naafiri,1,1,1
Jayce,Sejuani,1,0,0
K'Sante,Jarvan IV,1,1,1
K'Sante,Naafiri,1,1,1
K'Sante,Nocturne,1,0,0
K'Sante,Pantheon,1,0,0
Olaf,Xin Zhao,1,0,0
Renekton,Lillia,1,1,1
Renekton,Nocturne,1,1,1
Renekton,Trundle,1,1,1
Renekton,Vi,1,0,0
Rumble,Jarvan IV,1,1,1
Rumble,Maokai,1,0,0
Rumble,Pantheon,1,0,0
Rumble,Skarner,1,0,0
Sion,Jarvan IV,1,1,1
Sion,Maokai,1,0,0
Sion,Sylas,1,1,1
Sion,Vi,1,0,0
Sion,Viego,1,1,1
Sion,Xin Zhao,1,0,0
Yorick,Xin Zhao,1,0,0
