champ,games,rank,group
Xin Zhao,13,1,1
Rakan,10,2,1
Taliyah,10,3,1
Ambessa,9,4,1
Kai'Sa,9,5,1
Rumble,9,6,1
Wukong,9,7,1
Alistar,7,8,1
Ezreal,7,9,1
Renekton,7,10,1
Sion,7,11,2
Leona,6,12,2
Lucian,6,13,2
Vi,6,14,2
Azir,5,15,2
Braum,5,16,2
Ryze,5,17,2
Ahri,4,18,2
Annie,4,19,2
Galio,4,20,2
Neeko,4,21,3
Rell,4,22,3
Renata Glasc,4,23,3
Xayah,4,24,3
Zeri,4,25,3
Corki,3,26,3
Gwen,3,27,3
Jarvan IV,3,28,3
Jhin,3,29,3
Naafiri,3,30,3
Sivir,3,31,4
Sylas,3,32,4
Varus,3,33,4
Viego,3,34,4
Viktor,3,35,4
Yone,3,36,4
Yorick,3,37,4
