champ,games
Aatrox,1
Ashe,1
Bard,1
Cassiopeia,1
Elise,1
Fiora,1
Lillia,1
Lulu,1
Maokai,1
Milio,1
Miss Fortune,1
Olaf,1
Pantheon,1
Sejuani,1
Tristana,1
Trundle,1
Vayne,1
Yuumi,1
Akali,2
Aurora,2
Jax,2
Jayce,2
K'Sante,2
Kalista,2
Karma,2
Nocturne,2
Orianna,2
Poppy,2
Skarner,2
Yunara,2
Corki,3
Gwen,3
Jarvan IV,3
Jhin,3
Naafiri,3
Sivir,3
Sylas,3
Varus,3
Viego,3
Viktor,3
Yone,3
Yorick,3
Ahri,4
Annie,4
Galio,4
Neeko,4
Rell,4
Renata Glasc,4
Xayah,4
Zeri,4
Azir,5
Braum,5
Ryze,5
Leona,6
Lucian,6
Vi,6
Alistar,7
Ezreal,7
Renekton,7
Sion,7
Ambessa,9
Kai'Sa,9
Rumble,9
Wukong,9
Rakan,10
Taliyah,10
Xin Zhao,13
