gameid,patch,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184105,15.01,Ambessa,Rakan,Xayah,Akali,Jarvan IV,1771,0,6,16,19,6,16,1,0,0,0,0,0.2033,0.7453,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_188641,15.01,Rumble,Varus,Vi,Renata Glasc,Yone,1649,0,3,23,6,3,23,0,0,0,0,1,0.1092,0.946,1,2,2,2,2,0,1,0,1,0,0
LOLTMNT03_188655,15.01,Xin Zhao,Kalista,Neeko,Renekton,Galio,1568,0,7,24,17,7,24,0,0,0,0,1,0.2679,1.1862,1,2,1,2,1,1,0,1,0,0,0
LOLTMNT03_191023,15.01,Ezreal,Leona,Jax,Wukong,Taliyah,1809,0,3,17,5,3,17,0,0,0,0,0,0.0995,0.6633,1,1,4,1,4,0,0,0,0,0,1
LOLTMNT03_191030,15.01,Corki,Sejuani,Zeri,Yuumi,Aurora,2044,0,7,18,19,7,18,1,0,0,0,0,0.2055,0.7339,1,2,3,2,3,0,1,1,0,0,0
LOLTMNT01_198801,15.02,Jayce,Poppy,Kai'Sa,Wukong,Viktor,1655,0,11,23,19,11,23,1,0,0,0,0,0.3988,1.2326,0,1,1,1,1,0,0,0,1,0,0
LOLTMNT02_242946,15.06,K'Sante,Vi,Azir,Ashe,Braum,2215,0,12,18,34,12,18,1,0,0,0,1,0.3251,0.8126,1,3,3,3,3,2,0,1,0,0,0
LOLTMNT02_244356,15.06,Naafiri,Ambessa,Ezreal,Sylas,Elise,1930,0,8,22,18,8,22,1,0,0,0,0,0.2487,0.9326,1,3,1,3,1,1,1,1,0,0,0
LOLTMNT02_244383,15.06,Azir,Skarner,Leona,Kai'Sa,Fiora,1499,1,15,6,34,15,6,2,1,0,0,0,0.6004,0.8406,1,3,0,3,0,1,1,1,0,0,0
LOLTMNT03_218633,15.07,Ezreal,Ahri,Renekton,Viego,Leona,2001,1,23,10,48,23,10,3,1,0,0,0,0.6897,0.9895,1,4,1,4,1,1,0,2,0,0,1
LOLTMNT03_222019,15.07,Taliyah,Xin Zhao,Sion,Rakan,Xayah,1799,0,9,17,18,9,17,0,0,0,0,1,0.3002,0.8671,0,1,3,1,3,0,0,0,0,1,0
