champ,games
Akali,1
Annie,1
Galio,1
Gnar,1
Ivern,1
Jarvan IV,1
Leona,1
Lillia,1
Maokai,1
Skarner,1
Sylas,1
Tristana,1
Twisted Fate,1
Varus,1
Ziggs,1
Zoe,1
Zyra,1
Bard,2
Gragas,2
Jhin,2
Nidalee,2
Ornn,2
Poppy,2
Renekton,2
Rumble,2
Senna,2
Taliyah,2
Viego,2
Yone,2
Elise,3
Jinx,3
K'Sante,3
Kalista,3
Lucian,3
Lulu,3
Pantheon,3
Rakan,3
Wukong,3
Xayah,3
Yorick,3
Yunara,3
Zeri,3
Aatrox,4
Jax,4
Jayce,4
Kai'Sa,4
Lee Sin,4
Miss Fortune,4
Naafiri,4
Nocturne,4
Renata Glasc,4
Sion,4
Sivir,4
Alistar,5
Azir,5
Braum,5
Ryze,5
Sejuani,5
Vi,5
Viktor,5
Xin Zhao,5
Corki,6
Gwen,6
Nautilus,6
Orianna,6
Rell,6
Ahri,7
Ashe,7
Neeko,7
Trundle,7
Aurora,8
Ambessa,10
