gameid,patch,teamname,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_184105,15.01,KT Rolster,Sejuani,Jax,Azir,Jinx,Lulu,1771,1,16,6,40,16,6,5,0,0,0,1,0.5421,0.7453,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_188641,15.01,Dplus KIA,Skarner,Ambessa,Leona,Ziggs,Ahri,1649,1,23,3,62,23,3,5,0,0,0,0,0.8369,0.946,0,2,2,2,2,0,0,2,0,0,0
LOLTMNT03_188655,15.01,Dplus KIA,Ashe,Viego,Braum,Sion,Zoe,1568,1,24,7,71,24,7,5,0,0,0,0,0.9184,1.1862,0,1,2,1,2,0,0,0,1,0,0
LOLTMNT03_191023,15.01,DRX,Ambessa,Kai'Sa,Rell,Nidalee,Jayce,1809,1,17,3,35,17,3,2,0,0,0,1,0.5638,0.6633,0,4,1,4,1,0,0,1,3,0,0
LOLTMNT03_191030,15.01,DRX,Rumble,Ashe,Braum,Lee Sin,Lillia,2044,1,18,7,38,18,7,5,1,0,0,1,0.5284,0.7339,0,3,2,3,2,3,0,0,0,0,0
LOLTMNT01_198801,15.02,Nongshim RedForce,Ambessa,Elise,Sejuani,Xayah,Aurora,1655,1,23,11,48,23,11,2,0,0,0,1,0.8338,1.2326,1,1,1,1,1,0,0,1,0,0,0
LOLTMNT02_242946,15.06,Dplus KIA,Naafiri,Aatrox,Aurora,Kai'Sa,Gragas,2215,1,18,12,48,18,12,5,1,0,0,0,0.4876,0.8126,0,3,3,3,3,2,0,0,1,0,0
LOLTMNT02_244356,15.06,OKSavingsBank BRION,Vi,Renekton,Taliyah,Corki,Rell,1930,1,22,8,59,22,8,4,1,0,0,1,0.6839,0.9326,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT02_244383,15.06,OKSavingsBank BRION,Gwen,Ivern,Tristana,Ashe,Nautilus,1499,0,6,15,11,6,15,1,0,0,0,1,0.2402,0.8406,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_218633,15.07,DRX,Corki,Miss Fortune,Ambessa,Rell,Zyra,2001,0,10,23,24,10,23,0,0,0,0,1,0.2999,0.9895,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_222019,15.07,KT Rolster,Kalista,Neeko,Jayce,Sylas,Nidalee,1799,1,17,9,35,17,9,2,0,0,0,0,0.567,0.8671,1,3,1,3,1,0,0,1,0,1,1
LOLTMNT03_221634,15.07,KT Rolster,Ahri,Ashe,Pantheon,Aatrox,Elise,1575,1,24,8,53,24,8,2,1,0,0,1,0.9143,1.219,0,3,1,3,1,0,0,0,2,0,1
LOLTMNT03_229164,15.07,Gen.G,Xin Zhao,Viktor,Ambessa,Ashe,Renata Glasc,1810,1,29,11,69,29,11,5,1,0,0,1,0.9613,1.326,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT03_230810,15.07,T1,Viktor,Yorick,Lee Sin,Jinx,Lulu,1712,0,3,14,9,3,14,0,0,0,0,0,0.1051,0.5958,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_228803,15.08,Nongshim RedForce,Xin Zhao,Gwen,Ryze,Zeri,Alistar,1832,1,30,15,75,30,15,6,3,1,0,1,0.9825,1.4738,0,3,2,3,2,0,0,3,0,0,0
