jng,mid,games,wins,winrate
Nocturne,Orianna,4,0,0
Pantheon,Ahri,3,2,0.6666666666666666
Trundle,Azir,3,2,0.6666666666666666
Vi,Ahri,3,1,0.3333333333333333
Xin Zhao,Viktor,3,2,0.6666666666666666
Naafiri,Aurora,2,2,1
Pantheon,Azir,2,1,0.5
Sejuani,Azir,2,1,0.5
Sejuani,Yone,2,1,0.5
Skarner,Ahri,2,1,0.5
Trundle,Ahri,2,0,0
Wukong,Ahri,2,0,0
Xin Zhao,Azir,2,1,0.5
Xin Zhao,Galio,2,1,0.5
Xin Zhao,Ryze,2,2,1
Ivern,Corki,1,1,1
Ivern,Tristana,1,0,0
Jarvan IV,Ahri,1,1,1
Jarvan IV,Annie,1,0,0
Jarvan IV,Aurora,1,1,1
Jarvan IV,Ryze,1,0,0
Jarvan IV,Taliyah,1,0,0
Kindred,Galio,1,0,0
Lee Sin,Azir,1,0,0
Lee Sin,Ryze,1,0,0
Lee Sin,Viktor,1,0,0
Lillia,Lee Sin,1,1,1
Maokai,Smolder,1,0,0
Maokai,Yone,1,0,0
Naafiri,Ahri,1,1,1
Naafiri,Orianna,1,0,0
Nidalee,Azir,1,0,0
Nidalee,Jayce,1,1,1
Nidalee,Ryze,1,1,1
Nidalee,Sylas,1,1,1
Nidalee,Yone,1,1,1
Nocturne,Viktor,1,1,1
Pantheon,Aurora,1,1,1
Pantheon,LeBlanc,1,0,0
Pantheon,Viktor,1,1,1
Poppy,Azir,1,1,1
Poppy,Ryze,1,1,1
Poppy,Sylas,1,1,1
Sejuani,Aurora,1,1,1
Sejuani,Corki,1,0,0
Sejuani,Ryze,1,1,1
Sejuani,Viego,1,1,1
Sejuani,Viktor,1,0,0
Skarner,Smolder,1,1,1
Skarner,Taliyah,1,0,0
Trundle,Aurora,1,0,0
Trundle,Orianna,1,1,1
Trundle,Ryze,1,1,1
Trundle,Taliyah,1,0,0
Trundle,Twisted Fate,1,1,1
Vi,Orianna,1,1,1
Vi,Taliyah,1,1,1
Vi,Viktor,1,1,1
Vi,Xerath,1,0,0
Viego,Taliyah,1,1,1
Viego,Viktor,1,0,0
Viego,Zoe,1,1,1
Wukong,Annie,1,1,1
Wukong,Aurora,1,0,0
Wukong,Orianna,1,1,1
Wukong,Syndra,1,1,1
Xin Zhao,Ahri,1,0,0
Xin Zhao,Akali,1,0,0
Xin Zhao,Annie,1,1,1
Xin Zhao,Orianna,1,1,1
Xin Zhao,Sylas,1,1,1
Xin Zhao,Taliyah,1,1,1
Zed,Galio,1,1,1
Zed,Mel,1,0,0
Zyra,Corki,1,0,0
Zyra,Yone,1,1,1
