top,jng,games,wins,winrate
Ambessa,Xin Zhao,4,3,0.75
Gwen,Xin Zhao,4,4,1
Aatrox,Trundle,2,0,0
Ambessa,Jarvan IV,2,1,0.5
Ambessa,Sejuani,2,2,1
Gnar,Vi,2,1,0.5
Gwen,Sejuani,2,1,0.5
Gwen,Wukong,2,0,0
Jayce,Nidalee,2,1,0.5
Jayce,Pantheon,2,1,0.5
Jayce,Xin Zhao,2,0,0
Sion,Trundle,2,2,1
Sion,Viego,2,2,1
Yorick,Nocturne,2,1,0.5
Aatrox,Maokai,1,0,0
Aatrox,Naafiri,1,1,1
Aatrox,Pantheon,1,1,1
Aatrox,Sejuani,1,1,1
Ambessa,Lee Sin,1,0,0
Ambessa,Naafiri,1,1,1
Ambessa,Nidalee,1,1,1
Ambessa,Pantheon,1,0,0
Ambessa,Poppy,1,1,1
Ambessa,Skarner,1,1,1
Ambessa,Wukong,1,0,0
Ambessa,Zyra,1,0,0
Aurora,Nidalee,1,1,1
Aurora,Trundle,1,1,1
Aurora,Wukong,1,1,1
Camille,Xin Zhao,1,1,1
Camille,Zed,1,0,0
Galio,Nocturne,1,0,0
Gnar,Sejuani,1,0,0
Gnar,Skarner,1,0,0
Gnar,Viego,1,0,0
Gragas,Naafiri,1,0,0
Gragas,Xin Zhao,1,1,1
Gwen,Ivern,1,0,0
Gwen,Naafiri,1,1,1
Gwen,Nocturne,1,0,0
Gwen,Pantheon,1,1,1
Gwen,Vi,1,0,0
Jax,Maokai,1,0,0
Jax,Pantheon,1,1,1
Jax,Sejuani,1,1,1
Jax,Trundle,1,1,1
Jax,Vi,1,1,1
Jayce,Kindred,1,0,0
Jayce,Sejuani,1,0,0
Jayce,Trundle,1,1,1
K'Sante,Lee Sin,1,0,0
K'Sante,Nocturne,1,0,0
K'Sante,Skarner,1,0,0
K'Sante,Trundle,1,0,0
K'Sante,Vi,1,0,0
Kennen,Poppy,1,1,1
Nidalee,Poppy,1,1,1
Ornn,Trundle,1,0,0
Ornn,Xin Zhao,1,0,0
Poppy,Nidalee,1,1,1
Renekton,Jarvan IV,1,0,0
Renekton,Vi,1,1,1
Renekton,Wukong,1,1,1
Renekton,Xin Zhao,1,1,1
Renekton,Zyra,1,1,1
Rumble,Ivern,1,1,1
Rumble,Lillia,1,1,1
Rumble,Pantheon,1,1,1
Rumble,Sejuani,1,0,0
Rumble,Skarner,1,1,1
Rumble,Trundle,1,0,0
Rumble,Wukong,1,1,1
Rumble,Zed,1,1,1
Sion,Jarvan IV,1,1,1
Sion,Vi,1,1,1
Sion,Xin Zhao,1,0,0
Yorick,Jarvan IV,1,0,0
Yorick,Lee Sin,1,0,0
Yorick,Pantheon,1,0,0
