champ,games,rank,group
Xin Zhao,10,1,1
Ahri,8,2,1
Azir,7,3,1
Gwen,7,4,1
Pantheon,7,5,1
Alistar,6,6,1
Ambessa,6,7,1
Braum,6,8,1
Ezreal,6,9,1
Jayce,6,10,1
Jhin,6,11,2
Rumble,6,12,2
Lucian,5,13,2
Poppy,5,14,2
Rakan,5,15,2
Varus,5,16,2
Zeri,5,17,2
Corki,4,18,2
Galio,4,19,2
Gnar,4,20,2
Jarvan IV,4,21,3
Lulu,4,22,3
Miss Fortune,4,23,3
Nidalee,4,24,3
Rell,4,25,3
Sejuani,4,26,3
Taliyah,4,27,3
Viktor,4,28,3
Ashe,3,29,3
Kai'Sa,3,30,3
Leona,3,31,4
Orianna,3,32,4
Renata Glasc,3,33,4
Renekton,3,34,4
Ryze,3,35,4
Senna,3,36,4
Shen,3,37,4
Sion,3,38,4
Skarner,3,39,4
Trundle,3,40,4
Wukong,3,41,5
Xayah,3,42,5
Yone,3,43,5
