champ,games
Aphelios,1
Blitzcrank,1
Caitlyn,1
Cho'Gath,1
Draven,1
Ivern,1
Jax,1
Kalista,1
Kennen,1
Kindred,1
LeBlanc,1
Mel,1
Nami,1
Nocturne,1
Syndra,1
Tahm Kench,1
Xerath,1
Zyra,1
Aatrox,2
Annie,2
Aurora,2
Bard,2
Camille,2
Gragas,2
K'Sante,2
Maokai,2
Nautilus,2
Neeko,2
Smolder,2
Sylas,2
Vi,2
Viego,2
Yorick,2
Zed,2
Ashe,3
Kai'Sa,3
Leona,3
Orianna,3
Renata Glasc,3
Renekton,3
Ryze,3
Senna,3
Shen,3
Sion,3
Skarner,3
Trundle,3
Wukong,3
Xayah,3
Yone,3
Corki,4
Galio,4
Gnar,4
Jarvan IV,4
Lulu,4
Miss Fortune,4
Nidalee,4
Rell,4
Sejuani,4
Taliyah,4
Viktor,4
Lucian,5
Poppy,5
Rakan,5
Varus,5
Zeri,5
Alistar,6
Ambessa,6
Braum,6
Ezreal,6
Jayce,6
Jhin,6
Rumble,6
Azir,7
Gwen,7
Pantheon,7
Ahri,8
Xin Zhao,10
