gameid,year,split,playoffs,date,game,patch,side,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,top,Clear,BNK FEARX,Rumble,1914,0,1,6,3,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,jng,Raptor,BNK FEARX,Maokai,1914,0,1,7,3,7,27,0,0,0,0,1,0,1,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,mid,VicLa,BNK FEARX,Corki,1914,0,2,4,1,7,27,0,0,0,0,1,1,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,bot,Diable,BNK FEARX,Kai'Sa,1914,0,2,3,2,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_184086,2025,Cup,0,2025-01-16T08:09:06Z,1,15.01,Blue,sup,Kellin,BNK FEARX,Leona,1914,0,1,7,4,7,27,0,0,0,0,0,0,0,0,0.2194,1.0658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,top,Clear,BNK FEARX,K'Sante,1659,1,7,1,14,27,8,1,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,jng,Raptor,BNK FEARX,Wukong,1659,1,7,2,12,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,mid,VicLa,BNK FEARX,Taliyah,1659,1,1,1,18,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,bot,Diable,BNK FEARX,Zeri,1659,1,11,1,9,27,8,3,2,0,0,1,1,0,0,0.9765,1.2658
LOLTMNT03_183991,2025,Cup,0,2025-01-16T09:04:00Z,2,15.01,Blue,sup,Kellin,BNK FEARX,Rell,1659,1,1,3,16,27,8,0,0,0,0,0,0,0,0,0.9765,1.2658
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,top,Clear,BNK FEARX,Ambessa,1771,0,1,3,5,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,jng,Raptor,BNK FEARX,Jarvan IV,1771,0,1,3,4,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,mid,VicLa,BNK FEARX,Akali,1771,0,2,5,2,6,16,0,0,0,0,0,0,0,1,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,bot,Diable,BNK FEARX,Xayah,1771,0,2,3,3,6,16,1,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_184105,2025,Cup,0,2025-01-16T09:54:20Z,3,15.01,Red,sup,Kellin,BNK FEARX,Rakan,1771,0,0,2,5,6,16,0,0,0,0,0,0,0,0,0.2033,0.7453
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,top,Clear,BNK FEARX,K'Sante,2405,0,0,6,13,25,22,0,0,0,0,0,0,0,1,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,jng,Raptor,BNK FEARX,Zyra,2405,0,9,4,8,25,22,0,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,mid,VicLa,BNK FEARX,Corki,2405,0,7,6,9,25,22,0,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,bot,Diable,BNK FEARX,Ezreal,2405,0,8,2,10,25,22,1,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187470,2025,Cup,0,2025-01-19T08:34:13Z,1,15.01,Blue,sup,Kellin,BNK FEARX,Alistar,2405,0,1,4,22,25,22,0,0,0,0,0,0,0,0,0.6237,1.1726
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,top,Clear,BNK FEARX,Jayce,1751,0,1,6,3,10,22,0,0,0,0,0,0,0,1,0.3427,1.0965
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,jng,Raptor,BNK FEARX,Wukong,1751,0,4,5,6,10,22,0,0,0,0,0,0,0,0,0.3427,1.0965
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,mid,VicLa,BNK FEARX,Galio,1751,0,2,5,7,10,22,0,0,0,0,0,0,0,0,0.3427,1.0965
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,bot,Diable,BNK FEARX,Jinx,1751,0,3,3,7,10,22,1,0,0,0,0,0,0,0,0.3427,1.0965
LOLTMNT03_187471,2025,Cup,0,2025-01-19T09:34:45Z,2,15.01,Blue,sup,Kellin,BNK FEARX,Tahm Kench,1751,0,0,3,9,10,22,0,0,0,0,0,0,0,0,0.3427,1.0965
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,top,Clear,BNK FEARX,Rumble,1649,0,1,4,0,3,23,0,0,0,0,0,0,0,0,0.1092,0.946
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,jng,Raptor,BNK FEARX,Vi,1649,0,0,5,0,3,23,0,0,0,0,0,0,0,0,0.1092,0.946
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,mid,VicLa,BNK FEARX,Yone,1649,0,0,5,2,3,23,0,0,0,0,1,0,1,0,0.1092,0.946
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,bot,Diable,BNK FEARX,Varus,1649,0,2,5,1,3,23,0,0,0,0,1,1,0,0,0.1092,0.946
LOLTMNT03_188641,2025,Cup,0,2025-01-22T08:04:43Z,1,15.01,Red,sup,Kellin,BNK FEARX,Renata Glasc,1649,0,0,4,3,3,23,0,0,0,0,1,0,1,0,0.1092,0.946
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Blue,top,Clear,BNK FEARX,K'Sante,1898,1,3,1,8,17,6,0,0,0,0,1,1,0,0,0.5374,0.7271
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Blue,jng,Raptor,BNK FEARX,Wukong,1898,1,2,3,6,17,6,0,0,0,0,0,0,0,0,0.5374,0.7271
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Blue,mid,VicLa,BNK FEARX,Azir,1898,1,3,0,10,17,6,0,0,0,0,0,0,0,0,0.5374,0.7271
LOLTMNT03_188645,2025,Cup,0,2025-01-22T08:55:05Z,2,15.01,Blue,bot,Diable,BNK FEARX,Zeri,1898,1,9,0,4,17,6,1,1,0,0,0,0,0,0,0.5374,0.7271
