champ,ban_count,ban_rate,rank,group
Yone,29,0.05979381443298969,1,1
Gwen,25,0.05154639175257732,2,1
Vi,24,0.049484536082474224,3,1
Taliyah,23,0.04742268041237113,4,1
Poppy,20,0.041237113402061855,5,1
Pantheon,19,0.03917525773195876,6,1
Rumble,18,0.03711340206185567,7,1
Aurora,17,0.03505154639175258,8,1
Azir,17,0.03505154639175258,9,1
Varus,15,0.030927835051546393,10,1
Ambessa,14,0.0288659793814433,11,2
Alistar,12,0.024742268041237112,12,2
Jayce,11,0.02268041237113402,13,2
Skarner,10,0.020618556701030927,14,2
Miss Fortune,9,0.018556701030927835,15,2
Orianna,9,0.018556701030927835,16,2
Sion,9,0.018556701030927835,17,2
Nautilus,8,0.016494845360824743,18,2
Nocturne,8,0.016494845360824743,19,2
Rakan,8,0.016494845360824743,20,2
Sejuani,8,0.016494845360824743,21,3
Braum,7,0.01443298969072165,22,3
Jax,7,0.01443298969072165,23,3
Nidalee,7,0.01443298969072165,24,3
Yunara,7,0.01443298969072165,25,3
Bard,6,0.012371134020618556,26,3
Corki,6,0.012371134020618556,27,3
Ezreal,6,0.012371134020618556,28,3
Lillia,6,0.012371134020618556,29,3
Lucian,6,0.012371134020618556,30,3
Senna,6,0.012371134020618556,31,4
Viktor,6,0.012371134020618556,32,4
Xin Zhao,6,0.012371134020618556,33,4
