champ,ban_count,ban_rate
Yone,29,0.05979381443298969
Gwen,25,0.05154639175257732
Vi,24,0.049484536082474224
Taliyah,23,0.04742268041237113
Poppy,20,0.041237113402061855
Pantheon,19,0.03917525773195876
Rumble,18,0.03711340206185567
Aurora,17,0.03505154639175258
Azir,17,0.03505154639175258
Varus,15,0.030927835051546393
Ambessa,14,0.0288659793814433
Alistar,12,0.024742268041237112
Jayce,11,0.02268041237113402
Skarner,10,0.020618556701030927
Miss Fortune,9,0.018556701030927835
Orianna,9,0.018556701030927835
Sion,9,0.018556701030927835
Nautilus,8,0.016494845360824743
Nocturne,8,0.016494845360824743
Rakan,8,0.016494845360824743
Sejuani,8,0.016494845360824743
Braum,7,0.01443298969072165
Jax,7,0.01443298969072165
Nidalee,7,0.01443298969072165
Yunara,7,0.01443298969072165
Bard,6,0.012371134020618556
Corki,6,0.012371134020618556
Ezreal,6,0.012371134020618556
Lillia,6,0.012371134020618556
Lucian,6,0.012371134020618556
Senna,6,0.012371134020618556
Viktor,6,0.012371134020618556
Xin Zhao,6,0.012371134020618556
