champ,ban_count,ban_rate
Yone,29,0.05979381443298969
Gwen,25,0.05154639175257732
Vi,24,0.049484536082474224
Taliyah,23,0.04742268041237113
Poppy,20,0.041237113402061855
Pantheon,19,0.03917525773195876
Rumble,18,0.03711340206185567
Aurora,17,0.03505154639175258
Azir,17,0.03505154639175258
Varus,15,0.030927835051546393
Ambessa,14,0.0288659793814433
Alistar,12,0.024742268041237112
Jayce,11,0.02268041237113402
Skarner,10,0.020618556701030927
Miss Fortune,9,0.018556701030927835
Orianna,9,0.018556701030927835
Sion,9,0.018556701030927835
Nautilus,8,0.016494845360824743
Nocturne,8,0.016494845360824743
Rakan,8,0.016494845360824743
Sejuani,8,0.016494845360824743
Braum,7,0.01443298969072165
Jax,7,0.01443298969072165
Nidalee,7,0.01443298969072165
Yunara,7,0.01443298969072165
Bard,6,0.012371134020618556
Corki,6,0.012371134020618556
Ezreal,6,0.012371134020618556
Lillia,6,0.012371134020618556
Lucian,6,0.012371134020618556
Senna,6,0.012371134020618556
Viktor,6,0.012371134020618556
Xin Zhao,6,0.012371134020618556
Aatrox,5,0.010309278350515464
Jhin,5,0.010309278350515464
K'Sante,5,0.010309278350515464
Kalista,5,0.010309278350515464
Ornn,5,0.010309278350515464
Annie,4,0.008247422680412371
Kai'Sa,4,0.008247422680412371
Lulu,4,0.008247422680412371
Trundle,4,0.008247422680412371
Wukong,4,0.008247422680412371
Ahri,3,0.006185567010309278
Akali,3,0.006185567010309278
Ashe,3,0.006185567010309278
Sylas,3,0.006185567010309278
Caitlyn,2,0.004123711340206186
Galio,2,0.004123711340206186
Gnar,2,0.004123711340206186
Gragas,2,0.004123711340206186
Leona,2,0.004123711340206186
Maokai,2,0.004123711340206186
Neeko,2,0.004123711340206186
Rell,2,0.004123711340206186
Renekton,2,0.004123711340206186
Sivir,2,0.004123711340206186
Xayah,2,0.004123711340206186
Yorick,2,0.004123711340206186
Ziggs,2,0.004123711340206186
Camille,1,0.002061855670103093
Cho'Gath,1,0.002061855670103093
Elise,1,0.002061855670103093
Gangplank,1,0.002061855670103093
Ivern,1,0.002061855670103093
Jarvan IV,1,0.002061855670103093
Karma,1,0.002061855670103093
LeBlanc,1,0.002061855670103093
Tristana,1,0.002061855670103093
Twisted Fate,1,0.002061855670103093
Viego,1,0.002061855670103093
Zed,1,0.002061855670103093
Zyra,1,0.002061855670103093
