champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Rumble,17,9,0.5294117647058824,3.1176470588235294,3.411764705882353,8.235294117647058,0.19540229885057472
Gwen,10,2,0.2,2.6,3.7,2.8,0.11494252873563218
Sion,10,6,0.6,2,2.2,8.5,0.11494252873563218
Jayce,9,4,0.4444444444444444,3.3333333333333335,3.111111111111111,5.666666666666667,0.10344827586206896
K'Sante,9,4,0.4444444444444444,2.4444444444444446,2.7777777777777777,7.555555555555555,0.10344827586206896
Renekton,9,6,0.6666666666666666,2.5555555555555554,2.888888888888889,7.111111111111111,0.10344827586206896
Ambessa,8,2,0.25,1.75,3.375,3.375,0.09195402298850575
Jax,8,4,0.5,2.125,2,3.875,0.09195402298850575
Aatrox,3,2,0.6666666666666666,4.333333333333333,2.3333333333333335,5.333333333333333,0.034482758620689655
Aurora,2,0,0,1.5,4.5,1,0.022988505747126436
Fiora,1,1,1,2,3,5,0.011494252873563218
Yorick,1,1,1,3,0,4,0.011494252873563218
