champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Xin Zhao,19,9,0.47368421052631576,2.8421052631578947,3.4210526315789473,8.578947368421053,0.1958762886597938
Wukong,17,8,0.47058823529411764,3.5294117647058822,3.588235294117647,6.882352941176471,0.17525773195876287
Naafiri,12,6,0.5,5.416666666666667,2.8333333333333335,8.166666666666666,0.12371134020618557
Skarner,8,4,0.5,2,3.125,8.125,0.08247422680412371
Vi,7,1,0.14285714285714285,1.7142857142857142,3.2857142857142856,4.857142857142857,0.07216494845360824
Jarvan IV,5,3,0.6,3.4,3.8,11,0.05154639175257732
Nocturne,5,2,0.4,3.6,4,8.2,0.05154639175257732
Pantheon,5,3,0.6,5.4,4,7,0.05154639175257732
Maokai,3,0,0,0.6666666666666666,4.333333333333333,4.333333333333333,0.030927835051546393
Viego,3,2,0.6666666666666666,6.666666666666667,3,4,0.030927835051546393
Zyra,3,1,0.3333333333333333,3.6666666666666665,3.6666666666666665,5.333333333333333,0.030927835051546393
Lee Sin,2,2,1,7.5,1,10,0.020618556701030927
Lillia,2,1,0.5,3,2,7,0.020618556701030927
Poppy,2,0,0,4,3.5,4.5,0.020618556701030927
Sejuani,2,0,0,0,3.5,5.5,0.020618556701030927
Sylas,1,1,1,2,3,20,0.010309278350515464
Trundle,1,1,1,1,1,13,0.010309278350515464
