champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Taliyah,18,8,0.4444444444444444,2.5,2.611111111111111,7.5,0.20224719101123595
Azir,15,9,0.6,3.8666666666666667,2.466666666666667,5.6,0.16853932584269662
Ryze,10,6,0.6,2.1,2.7,7.6,0.11235955056179775
Annie,7,5,0.7142857142857143,3,4.428571428571429,9.714285714285714,0.07865168539325842
Galio,7,0,0,1.1428571428571428,5,6.428571428571429,0.07865168539325842
Ahri,6,4,0.6666666666666666,3.8333333333333335,2.5,8.333333333333334,0.06741573033707865
Corki,4,0,0,2.75,4.75,3.5,0.0449438202247191
Viktor,4,1,0.25,2.75,2.5,4.5,0.0449438202247191
Yone,4,1,0.25,1.75,4,5.75,0.0449438202247191
Orianna,3,3,1,5,3.3333333333333335,15.666666666666666,0.033707865168539325
Sylas,3,0,0,1.6666666666666667,4.666666666666667,2.6666666666666665,0.033707865168539325
Akali,2,1,0.5,5.5,2.5,4.5,0.02247191011235955
Twisted Fate,2,2,1,2,2.5,11.5,0.02247191011235955
Aurora,1,0,0,2,3,8,0.011235955056179775
Cassiopeia,1,0,0,1,5,2,0.011235955056179775
Morgana,1,1,1,1,1,19,0.011235955056179775
Tristana,1,0,0,6,5,2,0.011235955056179775
