champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Kai'Sa,16,8,0.5,6.1875,3,6.0625,0.16494845360824742
Ezreal,13,5,0.38461538461538464,4.769230769230769,1.8461538461538463,6,0.13402061855670103
Lucian,11,3,0.2727272727272727,4.2727272727272725,3,5.181818181818182,0.1134020618556701
Varus,11,5,0.45454545454545453,4.909090909090909,3.5454545454545454,7.181818181818182,0.1134020618556701
Xayah,8,3,0.375,4,2.625,4.125,0.08247422680412371
Zeri,8,5,0.625,5,2,4.375,0.08247422680412371
Kalista,6,4,0.6666666666666666,8.666666666666666,2.6666666666666665,4.333333333333333,0.061855670103092786
Sivir,6,3,0.5,4.333333333333333,2.6666666666666665,8.166666666666666,0.061855670103092786
Jhin,5,3,0.6,6.6,1.2,6.6,0.05154639175257732
Miss Fortune,4,1,0.25,2,2.5,2.75,0.041237113402061855
Jinx,3,1,0.3333333333333333,4.333333333333333,2.6666666666666665,4.333333333333333,0.030927835051546393
Corki,2,1,0.5,12,3,5,0.020618556701030927
Yunara,2,2,1,6,2.5,9,0.020618556701030927
Ashe,1,0,0,1,4,7,0.010309278350515464
Vayne,1,0,0,4,1,4,0.010309278350515464
