champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Alistar,15,8,0.5333333333333333,0.8666666666666667,3.2666666666666666,11.4,0.15463917525773196
Rakan,13,6,0.46153846153846156,0.6153846153846154,3.6923076923076925,11.461538461538462,0.13402061855670103
Leona,12,6,0.5,0.6666666666666666,4.25,10.75,0.12371134020618557
Rell,12,8,0.6666666666666666,0.9166666666666666,4.333333333333333,11.916666666666666,0.12371134020618557
Braum,9,3,0.3333333333333333,0.6666666666666666,3.5555555555555554,12,0.09278350515463918
Neeko,9,2,0.2222222222222222,0.7777777777777778,4.333333333333333,9.777777777777779,0.09278350515463918
Renata Glasc,6,3,0.5,0.3333333333333333,3.1666666666666665,12.166666666666666,0.061855670103092786
Lulu,4,2,0.5,0.25,2.5,10.5,0.041237113402061855
Nautilus,3,2,0.6666666666666666,0.6666666666666666,4.666666666666667,9.333333333333334,0.030927835051546393
Elise,2,1,0.5,1,4.5,7,0.020618556701030927
Karma,2,0,0,0,3,4,0.020618556701030927
Milio,2,0,0,0.5,2,11,0.020618556701030927
Poppy,2,0,0,1,9,5.5,0.020618556701030927
Tahm Kench,2,1,0.5,0,3.5,10.5,0.020618556701030927
Ashe,1,1,1,1,3,12,0.010309278350515464
Bard,1,1,1,5,4,14,0.010309278350515464
Nami,1,0,0,0,2,2,0.010309278350515464
Yuumi,1,0,0,0,3,6,0.010309278350515464
