champ,ban_count,ban_rate,rank,group
Kalista,41,0.08453608247422681,1,1
Vi,33,0.06804123711340206,2,1
Varus,29,0.05979381443298969,3,1
Azir,21,0.04329896907216495,4,1
Poppy,20,0.041237113402061855,5,1
Rakan,17,0.03505154639175258,6,1
Neeko,16,0.032989690721649485,7,1
Pantheon,16,0.032989690721649485,8,1
Alistar,15,0.030927835051546393,9,1
Rumble,13,0.026804123711340205,10,1
Naafiri,12,0.024742268041237112,11,2
Ezreal,11,0.02268041237113402,12,2
Skarner,11,0.02268041237113402,13,2
Gwen,10,0.020618556701030927,14,2
Nocturne,10,0.020618556701030927,15,2
Taliyah,10,0.020618556701030927,16,2
Xayah,10,0.020618556701030927,17,2
Yunara,10,0.020618556701030927,18,2
Kai'Sa,9,0.018556701030927835,19,2
Wukong,9,0.018556701030927835,20,2
Renekton,8,0.016494845360824743,21,3
Zyra,7,0.01443298969072165,22,3
Karma,6,0.012371134020618556,23,3
Lucian,6,0.012371134020618556,24,3
Sion,6,0.012371134020618556,25,3
Zeri,6,0.012371134020618556,26,3
Annie,5,0.010309278350515464,27,3
Ashe,5,0.010309278350515464,28,3
Galio,5,0.010309278350515464,29,3
Lulu,5,0.010309278350515464,30,3
Nautilus,5,0.010309278350515464,31,4
Sejuani,5,0.010309278350515464,32,4
Trundle,5,0.010309278350515464,33,4
