champ,ban_count,ban_rate
Kalista,41,0.08453608247422681
Vi,33,0.06804123711340206
Varus,29,0.05979381443298969
Azir,21,0.04329896907216495
Poppy,20,0.041237113402061855
Rakan,17,0.03505154639175258
Neeko,16,0.032989690721649485
Pantheon,16,0.032989690721649485
Alistar,15,0.030927835051546393
Rumble,13,0.026804123711340205
Naafiri,12,0.024742268041237112
Ezreal,11,0.02268041237113402
Skarner,11,0.02268041237113402
Gwen,10,0.020618556701030927
Nocturne,10,0.020618556701030927
Taliyah,10,0.020618556701030927
Xayah,10,0.020618556701030927
Yunara,10,0.020618556701030927
Kai'Sa,9,0.018556701030927835
Wukong,9,0.018556701030927835
Renekton,8,0.016494845360824743
Zyra,7,0.01443298969072165
Karma,6,0.012371134020618556
Lucian,6,0.012371134020618556
Sion,6,0.012371134020618556
Zeri,6,0.012371134020618556
Annie,5,0.010309278350515464
Ashe,5,0.010309278350515464
Galio,5,0.010309278350515464
Lulu,5,0.010309278350515464
Nautilus,5,0.010309278350515464
Sejuani,5,0.010309278350515464
Trundle,5,0.010309278350515464
