champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Ambessa,16,10,0.625,2.9375,1.875,5.6875,0.16494845360824742
Gwen,13,7,0.5384615384615384,5.076923076923077,4.153846153846154,5.923076923076923,0.13402061855670103
Jayce,9,3,0.3333333333333333,1.6666666666666667,3.111111111111111,3.888888888888889,0.09278350515463918
Rumble,8,6,0.75,4.25,2.875,6.75,0.08247422680412371
Sion,7,6,0.8571428571428571,3.2857142857142856,2,7.714285714285714,0.07216494845360824
Aatrox,6,3,0.5,2.6666666666666665,2.5,4.5,0.061855670103092786
Gnar,5,1,0.2,2.6,3,2.8,0.05154639175257732
Jax,5,4,0.8,3.2,2,5.4,0.05154639175257732
K'Sante,5,0,0,1.8,5,3.8,0.05154639175257732
Renekton,5,4,0.8,3.8,3,7.2,0.05154639175257732
Yorick,5,1,0.2,2,3,2.4,0.05154639175257732
Aurora,3,3,1,5.333333333333333,2.6666666666666665,6.666666666666667,0.030927835051546393
Camille,2,1,0.5,2.5,2,3.5,0.020618556701030927
Gragas,2,1,0.5,0.5,1.5,7,0.020618556701030927
Ornn,2,0,0,1,3,7,0.020618556701030927
Galio,1,0,0,4,3,3,0.010309278350515464
Kennen,1,1,1,4,3,4,0.010309278350515464
Nidalee,1,1,1,8,2,4,0.010309278350515464
Poppy,1,1,1,1,0,8,0.010309278350515464
