champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Xin Zhao,15,10,0.6666666666666666,3.8,3.533333333333333,9.666666666666666,0.15463917525773196
Trundle,10,5,0.5,3.3,3.2,9.8,0.10309278350515463
Sejuani,9,5,0.5555555555555556,2.4444444444444446,2.2222222222222223,7.555555555555555,0.09278350515463918
Pantheon,8,5,0.625,5.5,3,7.625,0.08247422680412371
Vi,7,4,0.5714285714285714,2.7142857142857144,4.142857142857143,8.142857142857142,0.07216494845360824
Wukong,6,3,0.5,4.166666666666667,3.8333333333333335,8.333333333333334,0.061855670103092786
Jarvan IV,5,2,0.4,2.2,3.6,9,0.05154639175257732
Nidalee,5,4,0.8,3,1,8.6,0.05154639175257732
Nocturne,5,1,0.2,3.6,3.2,4.8,0.05154639175257732
Naafiri,4,3,0.75,7,2.75,8,0.041237113402061855
Skarner,4,2,0.5,2.25,2.25,7.75,0.041237113402061855
Lee Sin,3,0,0,1.6666666666666667,3.6666666666666665,3.6666666666666665,0.030927835051546393
Poppy,3,3,1,3,2.6666666666666665,9,0.030927835051546393
Viego,3,2,0.6666666666666666,6,3,6,0.030927835051546393
Ivern,2,1,0.5,0.5,1.5,10.5,0.020618556701030927
Maokai,2,0,0,3.5,5,5,0.020618556701030927
Zed,2,1,0.5,4.5,3.5,6,0.020618556701030927
Zyra,2,1,0.5,4,5,7.5,0.020618556701030927
Kindred,1,0,0,5,6,6,0.010309278350515464
Lillia,1,1,1,10,1,5,0.010309278350515464
