champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Ahri,15,6,0.4,4.333333333333333,2.466666666666667,6.066666666666666,0.15463917525773196
Azir,12,6,0.5,4.333333333333333,2.5833333333333335,6.166666666666667,0.12371134020618557
Orianna,9,4,0.4444444444444444,2.111111111111111,2.888888888888889,6.777777777777778,0.09278350515463918
Viktor,9,5,0.5555555555555556,3.4444444444444446,2.2222222222222223,7.444444444444445,0.09278350515463918
Ryze,8,6,0.75,4.875,1.5,6.875,0.08247422680412371
Aurora,7,5,0.7142857142857143,3.142857142857143,2.2857142857142856,10.285714285714286,0.07216494845360824
Taliyah,6,3,0.5,3.8333333333333335,2.8333333333333335,7.166666666666667,0.061855670103092786
Yone,5,3,0.6,4.2,2.8,6.4,0.05154639175257732
Galio,4,2,0.5,2.5,2.5,8,0.041237113402061855
Annie,3,2,0.6666666666666666,1.3333333333333333,3.3333333333333335,9.666666666666666,0.030927835051546393
Corki,3,1,0.3333333333333333,4.333333333333333,2,4.333333333333333,0.030927835051546393
Sylas,3,3,1,5.333333333333333,2.6666666666666665,7.333333333333333,0.030927835051546393
Smolder,2,1,0.5,3,2.5,2,0.020618556701030927
Akali,1,0,0,3,6,6,0.010309278350515464
Jayce,1,1,1,6,1,9,0.010309278350515464
LeBlanc,1,0,0,2,3,3,0.010309278350515464
Lee Sin,1,1,1,1,0,4,0.010309278350515464
Mel,1,0,0,5,3,4,0.010309278350515464
Syndra,1,1,1,7,2,10,0.010309278350515464
Tristana,1,0,0,2,2,1,0.010309278350515464
Twisted Fate,1,1,1,6,0,11,0.010309278350515464
Viego,1,1,1,5,4,3,0.010309278350515464
Xerath,1,0,0,7,1,5,0.010309278350515464
Zoe,1,1,1,6,1,13,0.010309278350515464
