champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists,pick_rate
Ashe,10,8,0.8,4.9,2.4,8.5,0.10309278350515463
Jhin,8,4,0.5,5.25,2.5,8.125,0.08247422680412371
Lucian,8,2,0.25,4.125,4,6,0.08247422680412371
Miss Fortune,8,3,0.375,2.875,3.25,4.875,0.08247422680412371
Zeri,8,5,0.625,6.125,2.5,8.375,0.08247422680412371
Corki,7,4,0.5714285714285714,6.428571428571429,3.4285714285714284,6.142857142857143,0.07216494845360824
Kai'Sa,7,5,0.7142857142857143,4.857142857142857,2.857142857142857,6,0.07216494845360824
Ezreal,6,5,0.8333333333333334,5.333333333333333,1.3333333333333333,6.5,0.061855670103092786
Varus,6,2,0.3333333333333333,2.5,3.6666666666666665,5.833333333333333,0.061855670103092786
Xayah,6,5,0.8333333333333334,5,2.1666666666666665,8.833333333333334,0.061855670103092786
Senna,5,3,0.6,4.2,3,10.2,0.05154639175257732
Kalista,4,2,0.5,2,3.75,4,0.041237113402061855
Sivir,4,2,0.5,4,2.75,7.25,0.041237113402061855
Jinx,3,1,0.3333333333333333,3,3.3333333333333335,4.666666666666667,0.030927835051546393
Yunara,3,1,0.3333333333333333,2,2.6666666666666665,3,0.030927835051546393
Aphelios,1,0,0,2,4,1,0.010309278350515464
Caitlyn,1,0,0,3,5,1,0.010309278350515464
Draven,1,0,0,3,3,2,0.010309278350515464
Ziggs,1,1,1,4,0,14,0.010309278350515464
