position,champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists
bot,Ashe,10,8,0.8,4.9,2.4,8.5
bot,Jhin,8,4,0.5,5.25,2.5,8.125
bot,Lucian,8,2,0.25,4.125,4,6
bot,Miss Fortune,8,3,0.375,2.875,3.25,4.875
bot,Zeri,8,5,0.625,6.125,2.5,8.375
bot,Corki,7,4,0.5714285714285714,6.428571428571429,3.4285714285714284,6.142857142857143
bot,Kai'Sa,7,5,0.7142857142857143,4.857142857142857,2.857142857142857,6
bot,Ezreal,6,5,0.8333333333333334,5.333333333333333,1.3333333333333333,6.5
bot,Varus,6,2,0.3333333333333333,2.5,3.6666666666666665,5.833333333333333
bot,Xayah,6,5,0.8333333333333334,5,2.1666666666666665,8.833333333333334
bot,Senna,5,3,0.6,4.2,3,10.2
bot,Kalista,4,2,0.5,2,3.75,4
bot,Sivir,4,2,0.5,4,2.75,7.25
bot,Jinx,3,1,0.3333333333333333,3,3.3333333333333335,4.666666666666667
bot,Yunara,3,1,0.3333333333333333,2,2.6666666666666665,3
bot,Aphelios,1,0,0,2,4,1
bot,Caitlyn,1,0,0,3,5,1
bot,Draven,1,0,0,3,3,2
bot,Ziggs,1,1,1,4,0,14
jng,Xin Zhao,15,10,0.6666666666666666,3.8,3.533333333333333,9.666666666666666
jng,Trundle,10,5,0.5,3.3,3.2,9.8
jng,Sejuani,9,5,0.5555555555555556,2.4444444444444446,2.2222222222222223,7.555555555555555
jng,Pantheon,8,5,0.625,5.5,3,7.625
jng,Vi,7,4,0.5714285714285714,2.7142857142857144,4.142857142857143,8.142857142857142
jng,Wukong,6,3,0.5,4.166666666666667,3.8333333333333335,8.333333333333334
jng,Jarvan IV,5,2,0.4,2.2,3.6,9
jng,Nidalee,5,4,0.8,3,1,8.6
jng,Nocturne,5,1,0.2,3.6,3.2,4.8
jng,Naafiri,4,3,0.75,7,2.75,8
jng,Skarner,4,2,0.5,2.25,2.25,7.75
jng,Lee Sin,3,0,0,1.6666666666666667,3.6666666666666665,3.6666666666666665
jng,Poppy,3,3,1,3,2.6666666666666665,9
jng,Viego,3,2,0.6666666666666666,6,3,6
jng,Ivern,2,1,0.5,0.5,1.5,10.5
jng,Maokai,2,0,0,3.5,5,5
jng,Zed,2,1,0.5,4.5,3.5,6
jng,Zyra,2,1,0.5,4,5,7.5
jng,Kindred,1,0,0,5,6,6
jng,Lillia,1,1,1,10,1,5
mid,Ahri,15,6,0.4,4.333333333333333,2.466666666666667,6.066666666666666
mid,Azir,12,6,0.5,4.333333333333333,2.5833333333333335,6.166666666666667
mid,Orianna,9,4,0.4444444444444444,2.111111111111111,2.888888888888889,6.777777777777778
mid,Viktor,9,5,0.5555555555555556,3.4444444444444446,2.2222222222222223,7.444444444444445
mid,Ryze,8,6,0.75,4.875,1.5,6.875
mid,Aurora,7,5,0.7142857142857143,3.142857142857143,2.2857142857142856,10.285714285714286
mid,Taliyah,6,3,0.5,3.8333333333333335,2.8333333333333335,7.166666666666667
mid,Yone,5,3,0.6,4.2,2.8,6.4
mid,Galio,4,2,0.5,2.5,2.5,8
mid,Annie,3,2,0.6666666666666666,1.3333333333333333,3.3333333333333335,9.666666666666666
mid,Corki,3,1,0.3333333333333333,4.333333333333333,2,4.333333333333333
mid,Sylas,3,3,1,5.333333333333333,2.6666666666666665,7.333333333333333
mid,Smolder,2,1,0.5,3,2.5,2
mid,Akali,1,0,0,3,6,6
mid,Jayce,1,1,1,6,1,9
mid,LeBlanc,1,0,0,2,3,3
mid,Lee Sin,1,1,1,1,0,4
mid,Mel,1,0,0,5,3,4
mid,Syndra,1,1,1,7,2,10
mid,Tristana,1,0,0,2,2,1
mid,Twisted Fate,1,1,1,6,0,11
mid,Viego,1,1,1,5,4,3
mid,Xerath,1,0,0,7,1,5
mid,Zoe,1,1,1,6,1,13
sup,Alistar,11,5,0.45454545454545453,0.6363636363636364,3.727272727272727,12.909090909090908
sup,Braum,11,5,0.45454545454545453,0.18181818181818182,3.727272727272727,12.818181818181818
sup,Rell,10,6,0.6,1.2,3.7,11.9
sup,Neeko,9,4,0.4444444444444444,0.7777777777777778,3.888888888888889,8.88888888888889
sup,Nautilus,8,5,0.625,0.5,5.625,12.125
sup,Rakan,8,5,0.625,1,2.125,12.875
sup,Lulu,7,4,0.5714285714285714,0.5714285714285714,2.5714285714285716,9.857142857142858
sup,Renata Glasc,7,4,0.5714285714285714,0.8571428571428571,3,11.571428571428571
sup,Bard,4,2,0.5,0.5,2.5,10
sup,Leona,4,4,1,1.25,4.5,16
sup,Elise,3,3,1,3.3333333333333335,2.3333333333333335,12.333333333333334
sup,Poppy,3,1,0.3333333333333333,2.3333333333333335,4.333333333333333,9.666666666666666
sup,Shen,3,2,0.6666666666666666,2,3.3333333333333335,11
sup,Gragas,2,1,0.5,1,5,6
sup,Pantheon,2,0,0,1.5,4.5,3.5
sup,Blitzcrank,1,1,1,0,3,10
sup,Cho'Gath,1,0,0,2,6,0
sup,Maokai,1,1,1,1,1,13
sup,Nami,1,0,0,1,3,9
sup,Tahm Kench,1,0,0,1,4,3
top,Ambessa,16,10,0.625,2.9375,1.875,5.6875
top,Gwen,13,7,0.5384615384615384,5.076923076923077,4.153846153846154,5.923076923076923
top,Jayce,9,3,0.3333333333333333,1.6666666666666667,3.111111111111111,3.888888888888889
top,Rumble,8,6,0.75,4.25,2.875,6.75
top,Sion,7,6,0.8571428571428571,3.2857142857142856,2,7.714285714285714
top,Aatrox,6,3,0.5,2.6666666666666665,2.5,4.5
top,Gnar,5,1,0.2,2.6,3,2.8
top,Jax,5,4,0.8,3.2,2,5.4
top,K'Sante,5,0,0,1.8,5,3.8
top,Renekton,5,4,0.8,3.8,3,7.2
top,Yorick,5,1,0.2,2,3,2.4
top,Aurora,3,3,1,5.333333333333333,2.6666666666666665,6.666666666666667
top,Camille,2,1,0.5,2.5,2,3.5
top,Gragas,2,1,0.5,0.5,1.5,7
top,Ornn,2,0,0,1,3,7
top,Galio,1,0,0,4,3,3
top,Kennen,1,1,1,4,3,4
top,Nidalee,1,1,1,8,2,4
top,Poppy,1,1,1,1,0,8
